School,GSR,GSR Percentage ,School_2,Overall G,Overall W,Overall L,Overall W-L%
Texas Christian University,100-c,1,TCU NCAA,33,21,12,0.636
Texas Southern University,82-d,0.82,Texas Southern,29,7,22,0.241
Texas State University,85-c,0.85,Texas State,32,14,18,0.438
Texas Tech University,94-d,0.94,Texas Tech NCAA,33,17,16,0.515
The Ohio State University,88-b,0.88,Ohio State,32,26,6,0.813
The University of North Carolina at Charlotte,79-c,0.79,Charlotte,31,16,15,0.516
The University of North Carolina at Greensboro,87-c,0.87,UNC Greensboro,33,21,12,0.636
The University of Southern Mississippi,91-c,0.91,Southern Mississippi,34,20,14,0.588
The University of Texas Rio Grande Valley,89-d,0.89,Texas-Rio Grande Valley,29,6,23,0.207
The University of Tulsa,100-c,1,Tulsa,35,25,10,0.714
Towson University,100-c,1,Towson,31,20,11,0.645
Troy University,95-d,0.95,Troy,34,22,12,0.647
Tulane University,100-c,1,Tulane,32,12,20,0.375
U.S. Air Force Academy,100-e,1,Air Force,32,15,17,0.469
U.S. Military Academy,89-d,0.89,Army,29,12,17,0.414
U.S. Naval Academy,84-d,0.84,Navy,31,14,17,0.452
University at Albany,75-c,0.75,Albany (NY),32,25,7,0.781
University at Buffalo the State University of New York,100-c,1,Buffalo,33,19,14,0.576
University of Akron,92-c,0.92,Akron NCAA,29,11,18,0.379
University of Alabama,88-d,0.88,Alabama NCAA,34,24,10,0.706
University of Alabama at Birmingham,100-c,1,UAB NCAA,32,18,14,0.563
University of Arizona,100-c,1,Arizona NCAA,34,18,16,0.529
University of Arkansas at Little Rock,93-c,0.93,Little Rock,30,12,18,0.4
University of Arkansas Fayetteville,88-d,0.88,Arkansas,33,18,15,0.545
University of Arkansas Pine Bluff,81-d,0.81,Arkansas-Pine Bluff,33,17,16,0.515
University of California Berkeley,92-c,0.92,California,34,19,15,0.559
University of California Davis,94-d,0.94,UC Davis,34,20,14,0.588
University of California Irvine,86-c,0.86,UC Irvine,32,23,9,0.719
University of California Los Angeles,100-c,1,UCLA,34,27,7,0.794
University of California Riverside,100-b,1,UC Riverside,32,18,14,0.563
University of California Santa Barbara,92-c,0.92,UC Santa Barbara,31,16,15,0.516
University of Central Arkansas,93-c,0.93,Central Arkansas,33,21,12,0.636
University of Central Florida,94-d,0.94,UCF,29,12,17,0.414
University of Cincinnati,92-c,0.92,Cincinnati,32,14,18,0.438
University of Colorado Boulder,100-b,1,Colorado NCAA,34,24,10,0.706
University of Connecticut,100-b,1,Connecticut NCAA,39,33,6,0.846
University of Dayton,100-c,1,Dayton NCAA,31,12,19,0.387
University of Delaware,88-d,0.88,Delaware,31,11,20,0.355
University of Denver,87-c,0.87,Denver,30,8,22,0.267
University of Detroit Mercy,92-c,0.92,Detroit Mercy,33,17,16,0.515
University of Evansville,93-c,0.93,Evansville,32,4,28,0.125
University of Florida,100-c,1,Florida NCAA,32,16,16,0.5
University of Georgia,93-c,0.93,Georgia,30,12,18,0.4
University of Hawaii Manoa,87-c,0.87,Hawaii,31,20,11,0.645
University of Houston,81-d,0.81,Houston NCAA,30,14,16,0.467
University of Idaho,100-c,1,Idaho,31,15,16,0.484
University of Illinois Chicago,92-c,0.92,Illinois-Chicago,34,18,16,0.529
University of Iowa,85-c,0.85,Iowa,39,34,5,0.872
University of Kansas,94-d,0.94,Kansas NCAA,33,20,13,0.606
University of Kentucky,100-c,1,Kentucky NCAA,32,12,20,0.375
University of Louisiana at Lafayette,100-c,1,Louisiana,31,17,14,0.548
University of Louisiana Monroe,80-c,0.8,Louisiana-Monroe,35,21,14,0.6
University of Louisville,100-b,1,Louisville,34,24,10,0.706
University of Maine,92-c,0.92,Maine,34,24,10,0.706
University of Maryland Baltimore County,92-c,0.92,Maryland-Baltimore County,29,10,19,0.345
University of Maryland College Park,100-c,1,Maryland,33,19,14,0.576
University of Maryland Eastern Shore,92-c,0.92,Maryland-Eastern Shore,30,15,15,0.5
University of Massachusetts Amherst,100-b,1,Massachusetts,32,5,27,0.156
University of Massachusetts Lowell,93-c,0.93,Massachusetts-Lowell,29,4,25,0.138
University of Memphis,100-c,1,Memphis,30,13,17,0.433
University of Miami (Florida),100-c,1,Miami (FL),31,19,12,0.613
University of Michigan,100-c,1,Michigan,34,20,14,0.588
University of Minnesota Twin Cities,100-c,1,Minnesota,36,20,16,0.556
University of Mississippi,100-b,1,Mississippi,33,24,9,0.727
University of Missouri Columbia,100-c,1,Missouri,30,11,19,0.367
University of Missouri-Kansas City,93-c,0.93,Kansas City,32,12,20,0.375
University of Montana,91-c,0.91,Montana,33,23,10,0.697
University of Nebraska at Omaha,93-c,0.93,Omaha,31,8,23,0.258
University of Nebraska-Lincoln,100-c,1,Nebraska NCAA,35,23,12,0.657
University of Nevada Las Vegas,87-c,0.87,Nevada-Las Vegas,33,30,3,0.909
University of Nevada Reno,89-b,0.89,Nevada NCAA,32,16,16,0.5
University of New Hampshire,100-c,1,New Hampshire,29,9,20,0.31
University of New Mexico,83-c,0.83,New Mexico NCAA,32,21,11,0.656
University of New Orleans,83-d,0.83,New Orleans,30,11,19,0.367
University of North Alabama,85-d,0.85,North Alabama,30,12,18,0.4
University of North Carolina Asheville,100-c,1,UNC Asheville,31,11,20,0.355
University of North Carolina Chapel Hill,100-c,1,North Carolina NCAA,33,20,13,0.606
University of North Carolina Wilmington,93-c,0.93,UNC Wilmington,30,5,25,0.167
University of North Dakota,93-c,0.93,North Dakota,30,9,21,0.3
University of North Florida,94-d,0.94,North Florida,30,9,21,0.3
University of North Texas,95-d,0.95,North Texas,32,23,9,0.719
University of Northern Colorado,100-b,1,Northern Colorado,31,15,16,0.484
University of Northern Iowa,100-c,1,Northern Iowa,32,16,16,0.5
University of Notre Dame,100-b,1,Notre Dame,35,28,7,0.8
University of Oklahoma,100-b,1,Oklahoma,33,23,10,0.697
University of Oregon,100-b,1,Oregon NCAA,32,11,21,0.344
University of Pennsylvania,100-d,1,Pennsylvania,28,15,13,0.536
University of Pittsburgh,100-c,1,Pittsburgh,32,8,24,0.25
University of Portland,100-c,1,Portland,34,21,13,0.618
University of Rhode Island,95-d,0.95,Rhode Island,35,21,14,0.6
University of Richmond,92-c,0.92,Richmond,35,29,6,0.829
University of San Diego,100-c,1,San Diego,31,9,22,0.29
University of San Francisco,100-c,1,San Francisco,30,14,16,0.467
University of South Alabama,79-c,0.79,South Alabama,32,9,23,0.281
University of South Carolina Columbia,100-b,1,South Carolina NCAA,38,38,0,1
University of South Carolina Upstate,87-c,0.87,South Carolina Upstate,32,16,16,0.5
University of South Dakota,100-c,1,South Dakota,36,23,13,0.639
University of South Florida,92-c,0.92,South Florida,33,19,14,0.576
University of Southern California,100-c,1,Southern California,35,29,6,0.829
University of Tennessee at Chattanooga,91-c,0.91,Chattanooga,33,28,5,0.848
University of Tennessee at Martin,100-c,1,Tennessee-Martin,33,16,17,0.485
University of Tennessee Knoxville,100-b,1,Tennessee NCAA,33,20,13,0.606
University of Texas at Arlington,100-c,1,UT Arlington,33,17,16,0.515
University of Texas at Austin,85-c,0.85,Texas NCAA,38,33,5,0.868
University of Texas at El Paso,92-c,0.92,UTEP,31,12,19,0.387
University of Texas at San Antonio,92-c,0.92,UTSA,33,18,15,0.545
University of the Incarnate Word,92-c,0.92,Incarnate Word,30,19,11,0.633
University of the Pacific,93-c,0.93,Pacific,34,19,15,0.559
University of Toledo,100-d,1,Toledo,34,28,6,0.824
University of Vermont,100-b,1,Vermont NCAA,37,25,12,0.676
University of Virginia,100-c,1,Virginia NCAA,32,16,16,0.5
University of Washington,100-b,1,Washington,31,16,15,0.516
University of Wisconsin-Green Bay,100-c,1,Green Bay,34,27,7,0.794
University of Wisconsin-Madison,100-b,1,Wisconsin NCAA,32,15,17,0.469
University of Wisconsin-Milwaukee,100-c,1,Milwaukee,32,16,16,0.5
University of Wyoming,100-c,1,Wyoming,33,18,15,0.545
Utah State University,80-b,0.8,Utah State NCAA,30,5,25,0.167
Utah Valley University,91-c,0.91,Utah Valley,29,10,19,0.345
Valparaiso University,100-c,1,Valparaiso,30,5,25,0.167
Vanderbilt University,100-b,1,Vanderbilt,33,23,10,0.697
Villanova University,100-c,1,Villanova,35,22,13,0.629
Virginia Commonwealth University,92-c,0.92,Virginia Commonwealth,32,26,6,0.813
Virginia Polytechnic Institute and State University,92-c,0.92,Virginia Tech,33,25,8,0.758
Wagner College,100-b,1,Wagner NCAA,28,7,21,0.25
Wake Forest University,100-c,1,Wake Forest,32,7,25,0.219
Washington State University,93-c,0.93,Washington State NCAA,36,21,15,0.583
Weber State University,85-c,0.85,Weber State,33,8,25,0.242
West Virginia University,100-c,1,West Virginia,33,25,8,0.758
Western Carolina University,100-c,1,Western Carolina,30,6,24,0.2
Western Illinois University,89-b,0.89,Western Illinois,30,18,12,0.6
Western Kentucky University,92-c,0.92,Western Kentucky NCAA,32,15,17,0.469
Western Michigan University,93-c,0.93,Western Michigan,30,12,18,0.4
Wichita State University,92-c,0.92,Wichita State,32,10,22,0.313
William & Mary,100-c,1,William & Mary,29,15,14,0.517
Winthrop University,87-c,0.87,Winthrop,30,14,16,0.467
Wofford College,73-c,0.73,Wofford,30,17,13,0.567
Wright State University,100-c,1,Wright State,33,18,15,0.545
Xavier University,85-c,0.85,Xavier,28,1,27,0.036
Yale University,100-d,1,Yale NCAA,27,8,19,0.296
Youngstown State University,92-c,0.92,Youngstown State,32,14,18,0.438
