Cohort Year,School,Conference,Sport,State,GSR,FGR,GSR Report,FGR Report,PDF_URL
2017,"Fairleigh Dickinson University, Metropolitan Campus",Northeast Conference,Overall,NJ,91,59,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/222.pdf?v=1748710721067
2017,Florida A&M University,Southwestern Athletic Conf.,Overall,FL,69,51,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/228.pdf?v=1748710721067
2017,Florida Atlantic University,American Athletic Conference,Overall,FL,90,60,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/229.pdf?v=1748710721067
2017,Florida International University,Conference USA,Overall,FL,89,62,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/231.pdf?v=1748710721067
2017,Florida State University,Atlantic Coast Conference,Overall,FL,89,65,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/234.pdf?v=1748710721067
2017,University of Florida,Southeastern Conference,Overall,FL,93,65,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/235.pdf?v=1748710721067
2017,Fordham University,Atlantic 10 Conference,Overall,NY,97,83,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/236.pdf?v=1748710721067
2017,Furman University,Southern Conference,Overall,SC,96,77,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/244.pdf?v=1748710721067
2017,George Mason University,Atlantic 10 Conference,Overall,VA,92,66,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/248.pdf?v=1748710721067
2017,George Washington University,Atlantic 10 Conference,Overall,DC,94,77,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/249.pdf?v=1748710721067
2017,Georgetown University,Big East Conference,Overall,DC,98,87,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/251.pdf?v=1748710721067
2017,Georgia Southern University,Sun Belt Conference,Overall,GA,86,58,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/253.pdf?v=1748710721067
2017,Georgia State University,Sun Belt Conference,Overall,GA,86,65,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/254.pdf?v=1748710721067
2017,Georgia Institute of Technology,Atlantic Coast Conference,Overall,GA,94,76,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/255.pdf?v=1748710721067
2017,University of Georgia,Southeastern Conference,Overall,GA,85,69,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/257.pdf?v=1748710721067
2017,Gonzaga University,West Coast Conference,Overall,WA,96,83,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/260.pdf?v=1748710721067
2017,Grambling State University,Southwestern Athletic Conf.,Overall,LA,80,62,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/261.pdf?v=1748710721067
2017,Hampton University,Coastal Athletic Association,Overall,VA,79,58,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/270.pdf?v=1748710721067
2017,University of Hartford,Conference of New England,Overall,CT,,65,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/272.pdf?v=1748710721067
2017,Harvard University,The Ivy League,Overall,MA,99,,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/275.pdf?v=1748710721067
2017,"University of Hawaii, Manoa",Big West Conference,Overall,HI,86,61,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/277.pdf?v=1748710721067
