School,Basketball Player #,GSR,GSR Percentage,Graduation Rate,School Checked,Overall Games,Overall Wins,Overall Losses,W-L%
Norfolk State University,11,79-d,0.79,9,#N/A,#N/A,#N/A,#N/A,#N/A
North Carolina A&T State University,13,87-c,0.87,11,North Carolina A&T,34,22,12,0.545
North Carolina Central University,13,94-d,0.94,12,North Carolina Central,31,16,15,0.567
North Carolina State University,8,100-b,1,8,#N/A,#N/A,#N/A,#N/A,#N/A
North Dakota State University,13,100-b,1,13,North Dakota,30,9,21,0.25
Northeastern University,14,100-c,1,14,Northeastern,27,10,17,0.567
Northern Arizona University,14,79-c,0.79,11,Northern Arizona,35,25,10,0.4
Northern Illinois University,15,93-c,0.93,14,Northern Illinois,31,15,16,0.455
Northern Kentucky University,13,100-b,1,13,Northern Kentucky,31,11,20,0.267
Northwestern State University,15,94-d,0.94,14,Northwestern,30,9,21,0.3
Northwestern University,12,100-c,1,12,Northwestern,30,9,21,0.3
Oakland University,15,88-d,0.88,13,Oakland,29,12,17,0.838
Ohio University,15,100-b,1,15,Ohio,30,11,19,0.424
Oklahoma State University,13,88-d,0.88,11,#N/A,#N/A,#N/A,#N/A,#N/A
Old Dominion University,15,100-b,1,15,Old Dominion,32,22,10,0.706
Oral Roberts University,13,90-b,0.9,12,Oral Roberts,32,21,11,0.484
Oregon State University,11,90-b,0.9,10,Oregon,32,11,21,0.516
Pennsylvania State University,13,100-b,1,13,Pennsylvania,28,15,13,0.367
Pepperdine University,16,88-d,0.88,14,Pepperdine,30,5,25,0.706
Portland State University,16,92-c,0.92,15,#N/A,#N/A,#N/A,#N/A,#N/A
Prairie View A&M University,13,67-d,0.67,9,#N/A,#N/A,#N/A,#N/A,#N/A
Presbyterian College,14,100-c,1,14,#N/A,#N/A,#N/A,#N/A,#N/A
Princeton University,0,100-d,1,0,#N/A,#N/A,#N/A,#N/A,#N/A
Providence College,15,100-c,1,15,Providence,34,13,21,0.576
Purdue University,13,86-c,0.86,11,Purdue,34,15,19,0.345
Purdue University Fort Wayne,12,80-c,0.8,10,Purdue Fort Wayne,36,23,13,0.5
Quinnipiac University,14,100-c,1,14,Quinnipiac,31,13,18,0.156
Radford University,14,100-c,1,14,Radford,33,15,18,0.138
Rice University,13,100-c,1,13,#N/A,#N/A,#N/A,#N/A,#N/A
Rider University,13,100-c,1,13,Rider,31,10,21,0.433
Robert Morris University,13,100-c,1,13,Robert Morris,30,6,24,0.469
Rutgers The State University of New Jersey New Brunswick,11,100-c,1,11,#N/A,#N/A,#N/A,#N/A,#N/A
Sacred Heart University,10,100-c,1,10,#N/A,#N/A,#N/A,#N/A,#N/A
Saint Francis University,14,100-b,1,14,#N/A,#N/A,#N/A,#N/A,#N/A
Saint Joseph's University,10,100-c,1,10,Saint Joseph's,34,28,6,0.588
Saint Louis University,13,100-c,1,13,Saint Louis,40,22,18,0.71
Saint Mary's College of California,15,90-b,0.9,14,#N/A,#N/A,#N/A,#N/A,#N/A
Saint Peter's University,15,100-b,1,15,Saint Peter's,30,7,23,0.5
Sam Houston State University,13,89-d,0.89,12,Sam Houston,29,7,22,0.556
Samford University,10,100-c,1,10,Samford,30,14,16,0.727
San Diego State University,13,100-c,1,13,San Diego,31,9,22,0.657
San Jose State University,15,100-c,1,15,#N/A,#N/A,#N/A,#N/A,#N/A
Santa Clara University,13,93-c,0.93,12,Santa Clara,34,25,9,0.367
Seattle University,11,100-c,1,11,Seattle,29,6,23,0.697
Seton Hall University,9,100-b,1,9,Seton Hall,32,17,15,0.688
Siena College,15,100-c,1,15,Siena,30,18,12,0.697
South Carolina State University,13,100-c,1,13,#N/A,#N/A,#N/A,#N/A,#N/A
South Dakota State University,14,100-c,1,14,South Dakota,36,23,13,0.5
Southeast Missouri State University,13,100-d,1,13,#N/A,#N/A,#N/A,#N/A,#N/A
Southeastern Louisiana University,13,100-c,1,13,Southeastern Louisiana,31,19,12,0.452
Southern Illinois University Edwardsville,11,93-c,0.93,10,#N/A,#N/A,#N/A,#N/A,#N/A
Southern Illinois University at Carbondale,14,93-c,0.93,13,#N/A,#N/A,#N/A,#N/A,#N/A
Southern Methodist University,13,83-c,0.83,11,Southern Methodist,30,14,16,0.816
Southern University Baton Rouge,14,80-c,0.8,11,#N/A,#N/A,#N/A,#N/A,#N/A
Southern Utah University,11,75-b,0.75,8,Southern Utah,30,8,22,0.5
St. Bonaventure University,10,100-c,1,10,St. Bonaventure,30,4,26,0.909
St. John's University (New York),10,91-c,0.91,9,#N/A,#N/A,#N/A,#N/A,#N/A
Stanford University,12,100-c,1,12,#N/A,#N/A,#N/A,#N/A,#N/A
Stephen F. Austin State University,14,86-c,0.86,12,Stephen F. Austin,34,22,12,0.419
Stetson University,12,93-c,0.93,11,Stetson,32,17,15,0.367
Stony Brook University,12,100-d,1,12,Stony Brook,33,28,5,0.6
Syracuse University,10,100-c,1,10,#N/A,#N/A,#N/A,#N/A,#N/A
Temple University,12,89-b,0.89,11,Temple,32,20,12,0.4
Tennessee State University,13,85-c,0.85,11,#N/A,#N/A,#N/A,#N/A,#N/A
Tennessee Technological University,12,100-c,1,12,#N/A,#N/A,#N/A,#N/A,#N/A
Texas A&M University-Corpus Christi,14,88-d,0.88,12,#N/A,#N/A,#N/A,#N/A,#N/A
Texas A&M University College Station,17,75-c,0.75,13,#N/A,#N/A,#N/A,#N/A,#N/A
Texas Christian University,11,100-c,1,11,#N/A,#N/A,#N/A,#N/A,#N/A
Texas Southern University,13,82-d,0.82,11,Texas Southern,29,7,22,0.3
Texas State University,10,85-c,0.85,9,#N/A,#N/A,#N/A,#N/A,#N/A
Texas Tech University,13,94-d,0.94,12,Texas Tech,33,17,16,0.3
The Citadel,0,-,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A
The Ohio State University,7,88-b,0.88,6,#N/A,#N/A,#N/A,#N/A,#N/A
The University of North Carolina at Charlotte,4,79-c,0.79,3,#N/A,#N/A,#N/A,#N/A,#N/A
The University of North Carolina at Greensboro,15,87-c,0.87,13,#N/A,#N/A,#N/A,#N/A,#N/A
The University of Southern Mississippi,13,91-c,0.91,12,#N/A,#N/A,#N/A,#N/A,#N/A
The University of Texas Rio Grande Valley,15,89-d,0.89,13,#N/A,#N/A,#N/A,#N/A,#N/A
The University of Tulsa,15,100-c,1,15,#N/A,#N/A,#N/A,#N/A,#N/A
Towson University,16,100-c,1,16,Towson,31,20,11,0.3
Troy University,13,95-d,0.95,12,Troy,34,22,12,0.367
Tulane University,11,100-c,1,11,Tulane,32,12,20,0.8
U.S. Air Force Academy,0,100-e,1,0,#N/A,#N/A,#N/A,#N/A,#N/A
U.S. Military Academy,0,89-d,0.89,0,#N/A,#N/A,#N/A,#N/A,#N/A
U.S. Naval Academy,0,84-d,0.84,0,#N/A,#N/A,#N/A,#N/A,#N/A
University at Albany,14,75-c,0.75,11,#N/A,#N/A,#N/A,#N/A,#N/A
University at Buffalo the State University of New York,14,100-c,1,14,#N/A,#N/A,#N/A,#N/A,#N/A
University of Akron,14,92-c,0.92,13,#N/A,#N/A,#N/A,#N/A,#N/A
University of Alabama,11,88-d,0.88,10,#N/A,#N/A,#N/A,#N/A,#N/A
University of Alabama at Birmingham,15,100-c,1,15,#N/A,#N/A,#N/A,#N/A,#N/A
University of Arizona,11,100-c,1,11,#N/A,#N/A,#N/A,#N/A,#N/A
University of Arkansas Fayetteville,13,93-c,0.93,12,#N/A,#N/A,#N/A,#N/A,#N/A
University of Arkansas Pine Bluff,15,88-d,0.88,13,#N/A,#N/A,#N/A,#N/A,#N/A
University of Arkansas at Little Rock,14,81-d,0.81,11,#N/A,#N/A,#N/A,#N/A,#N/A
University of California Berkeley,11,92-c,0.92,10,#N/A,#N/A,#N/A,#N/A,#N/A
University of California Davis,12,94-d,0.94,11,#N/A,#N/A,#N/A,#N/A,#N/A
University of California Irvine,14,86-c,0.86,12,#N/A,#N/A,#N/A,#N/A,#N/A
University of California Los Angeles,12,100-c,1,12,#N/A,#N/A,#N/A,#N/A,#N/A
University of California Riverside,14,100-b,1,14,#N/A,#N/A,#N/A,#N/A,#N/A
University of California Santa Barbara,14,92-c,0.92,13,#N/A,#N/A,#N/A,#N/A,#N/A
University of Central Arkansas,13,93-c,0.93,12,#N/A,#N/A,#N/A,#N/A,#N/A
University of Central Florida,14,94-d,0.94,13,#N/A,#N/A,#N/A,#N/A,#N/A
University of Cincinnati,15,92-c,0.92,14,#N/A,#N/A,#N/A,#N/A,#N/A
University of Colorado Boulder,11,100-b,1,11,#N/A,#N/A,#N/A,#N/A,#N/A
University of Connecticut,14,100-b,1,14,#N/A,#N/A,#N/A,#N/A,#N/A
University of Dayton,15,100-c,1,15,#N/A,#N/A,#N/A,#N/A,#N/A
University of Delaware,0,88-d,0.88,0,#N/A,#N/A,#N/A,#N/A,#N/A
University of Denver,14,87-c,0.87,12,#N/A,#N/A,#N/A,#N/A,#N/A
University of Detroit Mercy,13,92-c,0.92,12,#N/A,#N/A,#N/A,#N/A,#N/A
University of Evansville,13,93-c,0.93,12,#N/A,#N/A,#N/A,#N/A,#N/A
University of Florida,13,100-c,1,13,#N/A,#N/A,#N/A,#N/A,#N/A
University of Georgia,12,93-c,0.93,11,#N/A,#N/A,#N/A,#N/A,#N/A
University of Hartford,6,,,,#N/A,#N/A,#N/A,#N/A,#N/A
University of Hawaii Manoa,15,87-c,0.87,13,#N/A,#N/A,#N/A,#N/A,#N/A
University of Houston,15,81-d,0.81,12,#N/A,#N/A,#N/A,#N/A,#N/A
University of Idaho,14,100-c,1,14,#N/A,#N/A,#N/A,#N/A,#N/A
University of Illinois Chicago,15,92-c,0.92,14,#N/A,#N/A,#N/A,#N/A,#N/A
University of Illinois Urbana-Champaign,11,100-b,1,11,#N/A,#N/A,#N/A,#N/A,#N/A
University of Iowa,14,85-c,0.85,12,#N/A,#N/A,#N/A,#N/A,#N/A
University of Kansas,14,94-d,0.94,13,#N/A,#N/A,#N/A,#N/A,#N/A
University of Kentucky,12,100-c,1,12,#N/A,#N/A,#N/A,#N/A,#N/A
University of Louisiana Monroe,12,100-c,1,12,#N/A,#N/A,#N/A,#N/A,#N/A
University of Louisiana at Lafayette,15,80-c,0.8,12,#N/A,#N/A,#N/A,#N/A,#N/A
University of Louisville,9,100-b,1,9,#N/A,#N/A,#N/A,#N/A,#N/A
University of Maine,13,92-c,0.92,12,#N/A,#N/A,#N/A,#N/A,#N/A
University of Maryland Baltimore County,13,92-c,0.92,12,#N/A,#N/A,#N/A,#N/A,#N/A
University of Maryland College Park,14,100-c,1,14,#N/A,#N/A,#N/A,#N/A,#N/A
University of Maryland Eastern Shore,13,92-c,0.92,12,#N/A,#N/A,#N/A,#N/A,#N/A
University of Massachusetts Amherst,12,100-b,1,12,#N/A,#N/A,#N/A,#N/A,#N/A
University of Massachusetts Lowell,14,93-c,0.93,13,#N/A,#N/A,#N/A,#N/A,#N/A
University of Memphis,11,100-c,1,11,#N/A,#N/A,#N/A,#N/A,#N/A
University of Miami (Florida),12,100-c,1,12,#N/A,#N/A,#N/A,#N/A,#N/A
University of Michigan,10,100-c,1,10,#N/A,#N/A,#N/A,#N/A,#N/A
University of Minnesota Twin Cities,15,100-c,1,15,#N/A,#N/A,#N/A,#N/A,#N/A
University of Mississippi,15,100-b,1,15,#N/A,#N/A,#N/A,#N/A,#N/A
University of Missouri-Kansas City,15,100-c,1,15,#N/A,#N/A,#N/A,#N/A,#N/A
University of Missouri Columbia,14,93-c,0.93,13,#N/A,#N/A,#N/A,#N/A,#N/A
University of Montana,15,91-c,0.91,14,#N/A,#N/A,#N/A,#N/A,#N/A
University of Nebraska-Lincoln,15,93-c,0.93,14,#N/A,#N/A,#N/A,#N/A,#N/A
University of Nebraska at Omaha,11,100-c,1,11,#N/A,#N/A,#N/A,#N/A,#N/A
University of Nevada Las Vegas,14,87-c,0.87,12,#N/A,#N/A,#N/A,#N/A,#N/A
University of Nevada Reno,16,89-b,0.89,14,#N/A,#N/A,#N/A,#N/A,#N/A
University of New Hampshire,14,100-c,1,14,#N/A,#N/A,#N/A,#N/A,#N/A
University of New Mexico,14,83-c,0.83,12,#N/A,#N/A,#N/A,#N/A,#N/A
University of New Orleans,15,83-d,0.83,12,#N/A,#N/A,#N/A,#N/A,#N/A
University of North Alabama,13,85-d,0.85,11,#N/A,#N/A,#N/A,#N/A,#N/A
University of North Carolina Asheville,13,100-c,1,13,#N/A,#N/A,#N/A,#N/A,#N/A
University of North Carolina Chapel Hill,13,100-c,1,13,#N/A,#N/A,#N/A,#N/A,#N/A
University of North Carolina Wilmington,11,93-c,0.93,10,#N/A,#N/A,#N/A,#N/A,#N/A
University of North Dakota,15,93-c,0.93,14,#N/A,#N/A,#N/A,#N/A,#N/A
University of North Florida,9,94-d,0.94,8,#N/A,#N/A,#N/A,#N/A,#N/A
University of North Texas,6,95-d,0.95,6,#N/A,#N/A,#N/A,#N/A,#N/A
University of Northern Colorado,12,100-b,1,12,#N/A,#N/A,#N/A,#N/A,#N/A
University of Northern Iowa,13,100-c,1,13,#N/A,#N/A,#N/A,#N/A,#N/A
University of Notre Dame,10,100-b,1,10,#N/A,#N/A,#N/A,#N/A,#N/A
University of Oklahoma,15,100-b,1,15,#N/A,#N/A,#N/A,#N/A,#N/A
