School,GSR,GSR Percentage,School_2,Overall G,Overall W,Overall L,Overall W-L%,Unnamed: 8,Win Category
Liberty University,100-c,1.0,Liberty,32.0,18.0,14.0,0.563,,3.0
Lipscomb University,100-b,1.0,Lipscomb,32.0,20.0,12.0,0.625,,3.0
Long Beach State University,56-d,0.56,Long Beach State NCAA,36.0,21.0,15.0,0.583,,4.0
Long Island University,92-c,0.92,Long Island University,29.0,7.0,22.0,0.241,,4.0
Longwood University,80-b,0.8,Longwood NCAA,35.0,21.0,14.0,0.6,,1.0
Louisiana State University,80-b,0.8,Louisiana State,33.0,17.0,16.0,0.515,,3.0
Louisiana Tech University,75-d,0.75,Louisiana Tech,32.0,22.0,10.0,0.688,,4.0
Loyola Marymount University,90-b,0.9,Loyola Marymount,31.0,12.0,19.0,0.387,,3.0
Loyola University Chicago,86-c,0.86,Loyola (IL),33.0,23.0,10.0,0.697,,3.0
Loyola University Maryland,100-b,1.0,Loyola (MD),32.0,7.0,25.0,0.219,,2.0
Manhattan University,100-b,1.0,Manhattan,30.0,7.0,23.0,0.233,,5.0
Marist University,100-c,1.0,Marist,31.0,18.0,13.0,0.581,,2.0
Marquette University,82-c,0.82,Marquette NCAA,37.0,27.0,10.0,0.73,,2.0
Marshall University,69-c,0.69,Marshall,33.0,13.0,20.0,0.394,,5.0
McNeese State University,73-c,0.73,McNeese State NCAA,34.0,30.0,4.0,0.882,,3.0
Mercer University,86-c,0.86,Mercer,33.0,16.0,17.0,0.485,,4.0
Merrimack College,78-b,0.78,Merrimack,33.0,21.0,12.0,0.636,,4.0
Miami University (Ohio),92-c,0.92,Miami (OH),32.0,15.0,17.0,0.469,,2.0
Michigan State University,86-b,0.86,Michigan State NCAA,35.0,20.0,15.0,0.571,,1.0
Middle Tennessee State University,100-c,1.0,Middle Tennessee,33.0,14.0,19.0,0.424,,2.0
Mississippi State University,88-b,0.88,Mississippi State NCAA,35.0,21.0,14.0,0.6,,5.0
Mississippi Valley State University,41-d,0.41,Mississippi Valley State,31.0,1.0,30.0,0.032,,2.0
Missouri State University,88-d,0.88,Missouri State,33.0,17.0,16.0,0.515,,2.0
Monmouth University,100-b,1.0,Monmouth,33.0,18.0,15.0,0.545,,3.0
Montana State University-Bozeman,88-d,0.88,Montana State NCAA,35.0,17.0,18.0,0.486,,3.0
Morehead State University,80-b,0.8,Morehead State NCAA,35.0,26.0,9.0,0.743,,4.0
Morgan State University,56-d,0.56,Morgan State,31.0,11.0,20.0,0.355,,3.0
Mount St. Mary's University,100-b,1.0,Mount St. Mary's,32.0,13.0,19.0,0.406,,2.0
Murray State University,91-c,0.91,Murray State,32.0,12.0,20.0,0.375,,3.0
New Jersey Institute of Technology,89-b,0.89,NJIT,28.0,7.0,21.0,0.25,,3.0
New Mexico State University,89-b,0.89,New Mexico State,32.0,13.0,19.0,0.406,,2.0
Niagara University,80-c,0.8,Niagara,32.0,16.0,16.0,0.5,,3.0
Nicholls State University,88-d,0.88,Nicholls State,34.0,20.0,14.0,0.588,,1.0
Norfolk State University,80-c,0.8,Norfolk State,35.0,24.0,11.0,0.686,,2.0
North Carolina A&T State University,86-c,0.86,North Carolina A&T,32.0,7.0,25.0,0.219,,3.0
North Carolina Central University,100-d,1.0,North Carolina Central,31.0,18.0,13.0,0.581,,2.0
North Carolina State University,67-b,0.67,,,,,,*,4.0
North Dakota State University,91-c,0.91,North Dakota State,32.0,15.0,17.0,0.469,,2.0
Northeastern University,93-c,0.93,Northeastern,32.0,12.0,20.0,0.375,,3.0
Northern Arizona University,47-d,0.47,Northern Arizona,33.0,14.0,19.0,0.424,,4.0
Northern Illinois University,71-c,0.71,Northern Illinois,31.0,11.0,20.0,0.355,,4.0
Northern Kentucky University,89-b,0.89,Northern Kentucky,33.0,18.0,15.0,0.545,,4.0
Northwestern State University,100-c,1.0,Northwestern State,32.0,9.0,23.0,0.281,,3.0
Northwestern University,100-c,1.0,Northwestern NCAA,34.0,22.0,12.0,0.647,,4.0
Oakland University,80-a,0.8,Oakland NCAA,36.0,24.0,12.0,0.667,,3.0
Ohio University,91-c,0.91,Ohio,33.0,20.0,13.0,0.606,,2.0
Oklahoma State University,71-b,0.71,Oklahoma State,32.0,12.0,20.0,0.375,,2.0
Old Dominion University,100-b,1.0,Old Dominion,32.0,7.0,25.0,0.219,,2.0
Oral Roberts University,100-b,1.0,Oral Roberts,31.0,12.0,19.0,0.387,,2.0
Oregon State University,55-c,0.55,Oregon State,32.0,13.0,19.0,0.406,,5.0
Pennsylvania State University,54-c,0.54,Penn State,33.0,16.0,17.0,0.485,,4.0
Pepperdine University,82-c,0.82,Pepperdine,33.0,13.0,20.0,0.394,,4.0
Portland State University,87-c,0.87,Portland State,32.0,17.0,15.0,0.531,,3.0
Prairie View A&M University,60-c,0.6,Prairie View,31.0,10.0,21.0,0.323,,1.0
Presbyterian College,73-c,0.73,Presbyterian,33.0,14.0,19.0,0.424,,4.0
Princeton University,100-d,1.0,Princeton,29.0,24.0,5.0,0.828,,3.0
Providence College,91-c,0.91,Providence,35.0,21.0,14.0,0.6,,2.0
Purdue University,91-c,0.91,Purdue NCAA,39.0,34.0,5.0,0.872,,3.0
Purdue University Fort Wayne,100-b,1.0,Purdue Fort Wayne,36.0,23.0,13.0,0.639,,3.0
Quinnipiac University,100-b,1.0,Quinnipiac,34.0,24.0,10.0,0.706,,3.0
Radford University,91-c,0.91,Radford,33.0,16.0,17.0,0.485,,4.0
Rice University,67-b,0.67,Rice,32.0,11.0,21.0,0.344,,4.0
Rider University,100-c,1.0,Rider,32.0,15.0,17.0,0.469,,4.0
Robert Morris University,100-b,1.0,Robert Morris,32.0,10.0,22.0,0.313,,2.0
Rutgers The State University of New Jersey New Brunswick,92-c,0.92,Rutgers,32.0,15.0,17.0,0.469,,5.0
Sacred Heart University,82-c,0.82,Sacred Heart,32.0,16.0,16.0,0.5,,1.0
