School,GSR,GSR Percentage ,School_2,Overall G,Overall W,Overall L,Overall W-L%,Win Category
The University of North Carolina at Greensboro,87-c,0.87,UNC Greensboro,33,21,12,0.636,2.0
The University of Southern Mississippi,91-c,0.91,Southern Mississippi,34,20,14,0.588,3.0
The University of Texas Rio Grande Valley,89-d,0.89,Texas-Rio Grande Valley,29,6,23,0.207,4.0
The University of Tulsa,100-c,1.0,Tulsa,35,25,10,0.714,2.0
Towson University,100-c,1.0,Towson,31,20,11,0.645,2.0
Troy University,95-d,0.95,Troy,34,22,12,0.647,2.0
Tulane University,100-c,1.0,Tulane,32,12,20,0.375,4.0
U.S. Air Force Academy,100-e,1.0,Air Force,32,15,17,0.469,3.0
U.S. Military Academy,89-d,0.89,Army,29,12,17,0.414,3.0
U.S. Naval Academy,84-d,0.84,Navy,31,14,17,0.452,3.0
University at Albany,75-c,0.75,Albany (NY),32,25,7,0.781,2.0
University at Buffalo the State University of New York,100-c,1.0,Buffalo,33,19,14,0.576,3.0
University of Akron,92-c,0.92,Akron NCAA,29,11,18,0.379,4.0
University of Alabama,88-d,0.88,Alabama NCAA,34,24,10,0.706,2.0
University of Alabama at Birmingham,100-c,1.0,UAB NCAA,32,18,14,0.563,3.0
University of Arizona,100-c,1.0,Arizona NCAA,34,18,16,0.529,3.0
University of Arkansas at Little Rock,93-c,0.93,Little Rock,30,12,18,0.4,3.0
University of Arkansas Fayetteville,88-d,0.88,Arkansas,33,18,15,0.545,3.0
University of Arkansas Pine Bluff,81-d,0.81,Arkansas-Pine Bluff,33,17,16,0.515,3.0
University of California Berkeley,92-c,0.92,California,34,19,15,0.559,3.0
University of California Davis,94-d,0.94,UC Davis,34,20,14,0.588,3.0
University of California Irvine,86-c,0.86,UC Irvine,32,23,9,0.719,2.0
University of California Los Angeles,100-c,1.0,UCLA,34,27,7,0.794,2.0
University of California Riverside,100-b,1.0,UC Riverside,32,18,14,0.563,3.0
University of California Santa Barbara,92-c,0.92,UC Santa Barbara,31,16,15,0.516,3.0
University of Central Arkansas,93-c,0.93,Central Arkansas,33,21,12,0.636,2.0
