School,Metric,All Students 2013-14,All Students 2023-24,Student-Athletes 2013-14,Student-Athletes 2023-24
Bucknell University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
Bucknell University,Student-Athlete Graduation Success Rate,,,98%,96%
Bucknell University,2007-08 Graduation Rate,,91%,,88%
Bucknell University,2017-18 Graduation Rate,83%,,92%,
Bucknell University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Bucknell University,Four-Class Average,86%,91%,90%,92%
Butler University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
Butler University,Student-Athlete Graduation Success Rate,,,94%,87%
Butler University,2007-08 Graduation Rate,,74%,,81%
Butler University,2017-18 Graduation Rate,80%,,82%,
Butler University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Butler University,Four-Class Average,82%,74%,77%,69%
California Baptist University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
California Baptist University,Student-Athlete Graduation Success Rate,,,87%,
California Baptist University,2017-18 Graduation Rate,59%,,58%,
California Baptist University,Four-Class Average,60%,,60%,
California Polytechnic State University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
California Polytechnic State University,Student-Athlete Graduation Success Rate,,,90%,75%
California Polytechnic State University,2007-08 Graduation Rate,,72%,,67%
California Polytechnic State University,2017-18 Graduation Rate,86%,,85%,
California Polytechnic State University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
California Polytechnic State University,Four-Class Average,86%,74%,79%,67%
California State University Bakersfield,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
California State University Bakersfield,Student-Athlete Graduation Success Rate,,,90%,68%
California State University Bakersfield,2007-08 Graduation Rate,,40%,,47%
California State University Bakersfield,2017-18 Graduation Rate,49%,,60%,
California State University Bakersfield,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
California State University Bakersfield,Four-Class Average,48%,41%,61%,50%
California State University Fresno,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
California State University Fresno,Student-Athlete Graduation Success Rate,,,83%,73%
California State University Fresno,2007-08 Graduation Rate,,49%,,58%
California State University Fresno,2017-18 Graduation Rate,25%,,62%,
California State University Fresno,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
California State University Fresno,Four-Class Average,49%,49%,59%,57%
California State University Fullerton,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
California State University Fullerton,Student-Athlete Graduation Success Rate,,,80%,71%
California State University Fullerton,2007-08 Graduation Rate,,53%,,59%
California State University Fullerton,2017-18 Graduation Rate,69%,,67%,
California State University Fullerton,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
California State University Fullerton,Four-Class Average,70%,52%,57%,52%
California State University Northridge,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
California State University Northridge,Student-Athlete Graduation Success Rate,,,79%,68%
California State University Northridge,2007-08 Graduation Rate,,46%,,58%
California State University Northridge,2017-18 Graduation Rate,56%,,62%,
California State University Northridge,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
California State University Northridge,Four-Class Average,55%,47%,58%,58%
California State University Sacramento,Student-Athlete Graduation Success Rate,,,84%,73%
California State University Sacramento,2007-08 Graduation Rate,,41%,,64%
California State University Sacramento,2017-18 Graduation Rate,,,56% 67%,
California State University Sacramento,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
California State University Sacramento,Four-Class Average,,41%,56% 67%,59%
California State University Sacramento,"California State University,",,,Sacramento,
California State University Sacramento,FRESHMAN-COHORT GRADUATION RATES A,,,ll Students Student-Athletes,
Campbell University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
Campbell University,Student-Athlete Graduation Success Rate,,,93%,83%
Campbell University,2007-08 Graduation Rate,,49%,,62%
Campbell University,2017-18 Graduation Rate,56%,,54%,
Campbell University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Campbell University,Four-Class Average,56%,51%,61%,60%
Canisius University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
Canisius University,Student-Athlete Graduation Success Rate,,,97%,84%
Canisius University,2007-08 Graduation Rate,,68%,,78%
Canisius University,2017-18 Graduation Rate,71%,,65%,
Canisius University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Canisius University,Four-Class Average,69%,68%,71%,71%
Centenary College (Louisiana),Student-Athlete Graduation Success Rate,,,,100%
Centenary College (Louisiana),2007-08 Graduation Rate,,59%,,49%
Centenary College (Louisiana),FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Centenary College (Louisiana),Four-Class Average,,58%,,49%
Central Connecticut State University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
Central Connecticut State University,Student-Athlete Graduation Success Rate,,,79%,74%
Central Connecticut State University,2007-08 Graduation Rate,,52%,,49%
Central Connecticut State University,2017-18 Graduation Rate,49%,,60%,
Central Connecticut State University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Central Connecticut State University,Four-Class Average,52%,50%,57%,55%
Central Michigan University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
Central Michigan University,Student-Athlete Graduation Success Rate,,,90%,75%
Central Michigan University,2007-08 Graduation Rate,,59%,,59%
Central Michigan University,2017-18 Graduation Rate,62%,,76%,
Central Michigan University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Central Michigan University,Four-Class Average,62%,56%,73%,59%
Charleston Southern University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
Charleston Southern University,Student-Athlete Graduation Success Rate,,,85%,74%
Charleston Southern University,2007-08 Graduation Rate,,36%,,47%
Charleston Southern University,2017-18 Graduation Rate,48%,,53%,
Charleston Southern University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Charleston Southern University,Four-Class Average,47%,37%,59%,51%
Chicago State University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
Chicago State University,Student-Athlete Graduation Success Rate,,,71%,65%
Chicago State University,2007-08 Graduation Rate,,21%,,47%
Chicago State University,2017-18 Graduation Rate,17%,,36%,
Chicago State University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Chicago State University,Four-Class Average,19%,19%,31%,52%
Clemson University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
Clemson University,Student-Athlete Graduation Success Rate,,,96%,91%
Clemson University,2007-08 Graduation Rate,,83%,,71%
Clemson University,2017-18 Graduation Rate,88%,,72%,
Clemson University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Clemson University,Four-Class Average,86%,80%,74%,71%
Cleveland State University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
Cleveland State University,Student-Athlete Graduation Success Rate,,,91%,82%
Cleveland State University,2007-08 Graduation Rate,,32%,,55%
Cleveland State University,2017-18 Graduation Rate,49%,,64%,
Cleveland State University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Cleveland State University,Four-Class Average,49%,31%,67%,57%
Coastal Carolina University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
Coastal Carolina University,Student-Athlete Graduation Success Rate,,,89%,83%
Coastal Carolina University,2007-08 Graduation Rate,,46%,,66%
Coastal Carolina University,2017-18 Graduation Rate,51%,,65%,
Coastal Carolina University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Coastal Carolina University,Four-Class Average,49%,46%,58%,56%
Colgate University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
Colgate University,Student-Athlete Graduation Success Rate,,,97%,98%
Colgate University,2007-08 Graduation Rate,,91%,,84%
Colgate University,2017-18 Graduation Rate,91%,,88%,
Colgate University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Colgate University,Four-Class Average,91%,90%,91%,87%
College of Charleston (South Carolina),FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
College of Charleston (South Carolina),Student-Athlete Graduation Success Rate,,,91%,74%
College of Charleston (South Carolina),2007-08 Graduation Rate,,64%,,63%
College of Charleston (South Carolina),2017-18 Graduation Rate,65%,,63%,
College of Charleston (South Carolina),FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
College of Charleston (South Carolina),Four-Class Average,66%,66%,69%,67%
College of the Holy Cross,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
College of the Holy Cross,Student-Athlete Graduation Success Rate,,,98%,99%
College of the Holy Cross,2007-08 Graduation Rate,,91%,,91%
College of the Holy Cross,2017-18 Graduation Rate,90%,,88%,
College of the Holy Cross,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
College of the Holy Cross,Four-Class Average,91%,92%,89%,91%
Colorado State University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
Colorado State University,Student-Athlete Graduation Success Rate,,,87%,83%
Colorado State University,2007-08 Graduation Rate,,64%,,70%
Colorado State University,2017-18 Graduation Rate,67%,,79%,
Colorado State University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Colorado State University,Four-Class Average,68%,64%,70%,68%
Columbia University-Barnard College,Student-Athlete Graduation Success Rate,,,99%,97%
Columbia University-Barnard College,2007-08 Graduation Rate,,93%,,-
Columbia University-Barnard College,2017-18 Graduation Rate,95%,,-,
Columbia University-Barnard College,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Columbia University-Barnard College,Four-Class Average,96%,93%,-,-
Columbia University-Barnard College,FRESHMAN-COHORT GRADUATION RATES All Students Student-Ath,,,letes,
Coppin State University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
Coppin State University,Student-Athlete Graduation Success Rate,,,79%,73%
Coppin State University,2007-08 Graduation Rate,,14%,,31%
Coppin State University,2017-18 Graduation Rate,26%,,26%,
