Cohort Year,School,Conference,Sport,State,GSR,FGR,GSR Report,FGR Report,PDF_URL
2007,Florida A&M University,Mid-Eastern Athletic Conf.,Overall,FL,50,47,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/228.pdf?v=1750871843630
2007,Florida Atlantic University,Conference USA,Overall,FL,70,56,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/229.pdf?v=1750871843630
2007,Florida International University,Conference USA,Overall,FL,66,47,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/231.pdf?v=1750871843630
2007,Florida State University,Atlantic Coast Conference,Overall,FL,84,62,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/234.pdf?v=1750871843630
2007,University of Florida,Southeastern Conference,Overall,FL,83,59,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/235.pdf?v=1750871843630
2007,Fordham University,Atlantic 10 Conference,Overall,NY,92,81,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/236.pdf?v=1750871843630
2007,Furman University,Southern Conference,Overall,SC,89,75,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/244.pdf?v=1750871843630
2007,George Mason University,Atlantic 10 Conference,Overall,VA,81,65,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/248.pdf?v=1750871843630
2007,George Washington University,Atlantic 10 Conference,Overall,DC,95,78,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/249.pdf?v=1750871843630
2007,Georgetown University,Big East Conference,Overall,DC,95,87,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/251.pdf?v=1750871843630
2007,Georgia Southern University,Southern Conference,Overall,GA,67,59,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/253.pdf?v=1750871843630
2007,Georgia State University,Sun Belt Conference,Overall,GA,86,59,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/254.pdf?v=1750871843630
2007,Georgia Institute of Technology,Atlantic Coast Conference,Overall,GA,81,68,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/255.pdf?v=1750871843630
2007,University of Georgia,Southeastern Conference,Overall,GA,84,67,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/257.pdf?v=1750871843630
2007,Gonzaga University,West Coast Conference,Overall,WA,97,84,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/260.pdf?v=1750871843630
2007,Grambling State University,Southwestern Athletic Conf.,Overall,LA,56,45,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/261.pdf?v=1750871843630
