Race,val1_All,val2_All,val3_All,val4_All,val5_All,val6_All,val7_All,val8_All,val9_All,val10_All,val11_All,val12_All,Source_All,School_All,val1_SA,val2_SA,val3_SA,val4_SA,val5_SA,val6_SA,val7_SA,val8_SA,val9_SA,val10_SA,val11_SA,val12_SA,val13,val14,val15,val16,val17,val18,Source_SA,School_SA,val19,val20,val21,val22,val23,val24,val25,val26,val27,val28,val29,val30,val31,val32,val33,val34,val35,val36,val37,val38,val39,val40,val41,val42,val43,val44,val45,val46,val47,val48,val49,val50
Am. Ind./AN,***,***,4,75,***,***,5,100,***,***,9,89,All Students,Belmont University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Belmont University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,9,44,18,61,7,57,36,64,16,50,54,63,All Students,Belmont University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Belmont University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,9,78,32,84,12,50,52,75,21,62,84,79,All Students,Belmont University,0,-,4,75,6,100,3,33,15,73,13,100,3,33,19,74,19,100,Student-Athletes,Belmont University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,13,54,27,63,9,78,40,70,22,64,67,67,All Students,Belmont University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Belmont University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Belmont University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Belmont University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,4,100,13,85,3,67,9,44,7,86,22,68,All Students,Belmont University,***,***,9,100,14,100,***,***,4,75,3,100,***,***,13,92,17,100,Student-Athletes,Belmont University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,***,***,6,100,***,***,19,79,***,***,25,84,All Students,Belmont University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Belmont University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,6,33,***,***,8,63,***,***,14,50,***,***,All Students,Belmont University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Belmont University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,302,68,1128,67,400,69,1628,68,702,69,2756,67,All Students,Belmont University,16,69,49,76,44,100,20,85,74,74,69,91,36,78,123,75,113,95,Student-Athletes,Belmont University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,346,67,1257,67,453,69,1822,68,799,68,3079,68,All Students,Belmont University,20,75,67,81,69,100,25,80,96,74,87,93,45,78,163,77,156,96,Student-Athletes,Belmont University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,***,***,3,33,***,***,6,67,***,***,9,56,All Students,Bethune-Cookman University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Bethune-Cookman University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Bethune-Cookman University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Bethune-Cookman University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,290,43,1310,34,474,61,1885,48,764,54,3195,42,All Students,Bethune-Cookman University,26,46,89,46,115,56,16,69,45,53,55,76,42,55,134,49,170,62,Student-Athletes,Bethune-Cookman University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,7,86,35,54,3,100,16,31,10,90,51,47,All Students,Bethune-Cookman University,4,50,17,29,***,***,4,25,5,40,***,***,8,38,22,32,***,***,Student-Athletes,Bethune-Cookman University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,8,50,13,62,25,72,30,77,33,67,43,72,All Students,Bethune-Cookman University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Bethune-Cookman University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,***,***,16,6,***,***,40,8,***,***,56,7,All Students,Bethune-Cookman University,0,-,5,80,10,90,0,-,9,56,10,90,0,-,14,64,20,90,Student-Athletes,Bethune-Cookman University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Bethune-Cookman University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Bethune-Cookman University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,0,-,***,***,0,-,***,***,0,-,***,***,All Students,Bethune-Cookman University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Bethune-Cookman University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,***,***,20,40,***,***,11,91,***,***,31,58,All Students,Bethune-Cookman University,3,0,10,30,14,64,4,75,6,67,8,75,7,43,16,44,22,68,Student-Athletes,Bethune-Cookman University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,310,44,1417,35,511,62,2036,47,821,55,3453,42,All Students,Bethune-Cookman University,33,42,124,44,158,58,28,61,73,53,82,78,61,51,197,48,240,65,Student-Athletes,Bethune-Cookman University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,***,***,11,64,***,***,11,73,***,***,22,68,All Students,Binghamton University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Binghamton University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,154,79,755,77,120,83,602,84,274,81,1357,80,All Students,Binghamton University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Binghamton University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,57,65,206,68,105,82,338,79,162,76,544,75,All Students,Binghamton University,***,***,8,38,13,62,***,***,6,67,6,67,***,***,14,50,19,63,Student-Athletes,Binghamton University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,96,59,353,67,86,79,382,81,182,69,735,74,All Students,Binghamton University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Binghamton University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Binghamton University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Binghamton University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,69,62,208,50,65,78,191,78,134,70,399,63,All Students,Binghamton University,***,***,17,59,19,84,***,***,4,75,6,83,***,***,21,62,25,84,Student-Athletes,Binghamton University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Binghamton University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Binghamton University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,***,***,658,78,***,***,551,85,***,***,1209,81,All Students,Binghamton University,8,63,24,67,23,83,6,100,28,79,27,96,14,79,52,73,50,90,Student-Athletes,Binghamton University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,593,80,2454,78,488,89,2031,85,1081,84,4485,81,All Students,Binghamton University,28,82,76,70,72,83,30,87,72,74,65,92,58,84,148,72,137,88,Student-Athletes,Binghamton University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1183,77,4645,75,1032,85,4106,84,2215,81,8751,79,All Students,Binghamton University,47,74,131,66,134,80,38,87,116,75,109,92,85,80,247,70,243,85,Student-Athletes,Binghamton University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,16,38,46,33,11,45,42,21,27,41,88,27,All Students,Boise State University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Boise State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,24,33,110,35,32,53,113,46,56,45,223,40,All Students,Boise State University,0,-,4,50,3,67,3,67,7,86,7,86,3,67,11,73,10,80,Student-Athletes,Boise State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,22,50,79,33,11,27,44,18,33,42,123,28,All Students,Boise State University,11,73,34,59,42,74,0,-,11,64,11,82,11,73,45,60,53,75,Student-Athletes,Boise State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,54,28,215,21,87,34,317,24,141,32,532,23,All Students,Boise State University,***,***,***,***,3,100,***,***,***,***,4,100,***,***,***,***,7,100,Student-Athletes,Boise State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,***,***,4,25,***,***,10,50,***,***,14,43,All Students,Boise State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Boise State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,12,42,32,34,13,38,40,48,25,40,72,42,All Students,Boise State University,0,-,4,75,15,73,4,50,13,46,19,68,4,50,17,53,34,71,Student-Athletes,Boise State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,***,***,11,27,***,***,17,41,***,***,28,36,All Students,Boise State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Boise State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,27,37,110,29,27,41,94,30,54,39,204,29,All Students,Boise State University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Boise State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,738,39,2699,32,842,44,3155,35,1580,42,5854,34,All Students,Boise State University,19,79,70,70,67,82,27,59,79,58,82,79,46,67,149,64,149,81,Student-Athletes,Boise State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
