Race,val1_All,val2_All,val3_All,val4_All,val5_All,val6_All,val7_All,val8_All,val9_All,val10_All,val11_All,val12_All,Source_All,School_All,val1_SA,val2_SA,val3_SA,val4_SA,val5_SA,val6_SA,val7_SA,val8_SA,val9_SA,val10_SA,val11_SA,val12_SA,val13,val14,val15,val16,val17,val18,Source_SA,School_SA,val19,val20,val21,val22,val23,val24,val25,val26,val27,val28,val29,val30,val31,val32,val33,val34,val35,val36,val37,val38,val39,val40,val41,val42,val43,val44,val45,val46,val47,val48,val49,val50
Hispanic,9,22,34,24,8,0,37,16,17,12,71,20,All Students,Nicholls State University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Nicholls State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Nicholls State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Nicholls State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,***,***,21,43,***,***,24,42,***,***,45,42,All Students,Nicholls State University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Nicholls State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Nicholls State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Nicholls State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,***,***,16,38,***,***,18,33,***,***,34,35,All Students,Nicholls State University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Nicholls State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,348,37,1288,35,480,51,1940,47,828,45,3228,42,All Students,Nicholls State University,16,38,59,36,68,74,14,57,70,59,65,83,30,47,129,48,133,78,Student-Athletes,Nicholls State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,416,35,1670,33,628,46,2603,41,1044,42,4273,38,All Students,Nicholls State University,27,33,117,38,138,69,20,55,97,55,95,81,47,43,214,45,233,74,Student-Athletes,Nicholls State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,***,***,5,40,***,***,4,25,***,***,9,33,All Students,Norfolk State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Norfolk State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,***,***,3,67,***,***,10,60,***,***,13,62,All Students,Norfolk State University,***,***,0,-,0,-,***,***,3,67,3,67,***,***,3,67,3,67,Student-Athletes,Norfolk State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,319,29,1377,30,442,44,2043,40,761,38,3420,36,All Students,Norfolk State University,20,55,76,45,89,51,12,58,45,56,41,78,32,56,121,49,130,59,Student-Athletes,Norfolk State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,10,20,27,26,9,33,42,24,19,26,69,25,All Students,Norfolk State University,***,***,4,50,4,50,***,***,5,80,5,80,***,***,9,67,9,67,Student-Athletes,Norfolk State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Norfolk State University,0,-,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,Student-Athletes,Norfolk State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,0,-,11,45,0,-,5,40,0,-,16,44,All Students,Norfolk State University,0,-,***,***,3,100,0,-,***,***,3,100,0,-,***,***,6,100,Student-Athletes,Norfolk State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,12,33,15,27,19,58,25,52,31,48,40,43,All Students,Norfolk State University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Norfolk State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,5,40,52,37,4,0,80,36,9,22,132,36,All Students,Norfolk State University,0,-,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,Student-Athletes,Norfolk State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,9,22,50,18,7,0,40,28,16,13,90,22,All Students,Norfolk State University,***,***,15,40,22,45,***,***,6,33,11,55,***,***,21,38,33,48,Student-Athletes,Norfolk State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,359,29,1540,30,485,43,2249,40,844,37,3789,36,All Students,Norfolk State University,27,52,97,43,120,51,15,60,61,57,65,74,42,55,158,49,185,59,Student-Athletes,Norfolk State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,5,20,15,13,6,33,9,33,11,27,24,21,All Students,North Carolina A&T State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,North Carolina A&T State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,***,***,21,24,***,***,17,24,***,***,38,24,All Students,North Carolina A&T State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,North Carolina A&T State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,677,36,3587,34,756,51,4071,47,1433,44,7658,41,All Students,North Carolina A&T State University,8,50,62,42,71,44,9,67,62,68,65,75,17,59,124,55,136,59,Student-Athletes,North Carolina A&T State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,18,39,48,44,18,56,47,40,36,47,95,42,All Students,North Carolina A&T State University,0,-,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,Student-Athletes,North Carolina A&T State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,North Carolina A&T State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,North Carolina A&T State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,10,50,16,44,3,33,8,38,13,46,24,42,All Students,North Carolina A&T State University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,North Carolina A&T State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,0,-,0,-,0,-,0,-,0,-,All Students,North Carolina A&T State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,North Carolina A&T State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,***,***,42,12,***,***,50,28,***,***,92,21,All Students,North Carolina A&T State University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,North Carolina A&T State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,22,32,115,32,12,42,46,37,34,35,161,34,All Students,North Carolina A&T State University,***,***,17,35,14,50,***,***,4,75,5,80,***,***,21,43,19,58,Student-Athletes,North Carolina A&T State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,750,35,3844,34,819,50,4248,47,1569,43,8092,41,All Students,North Carolina A&T State University,12,42,81,41,88,44,10,70,67,69,73,77,22,55,148,53,161,59,Student-Athletes,North Carolina A&T State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,***,***,***,***,***,***,***,***,***,***,***,***,All Students,North Carolina Central University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,North Carolina Central University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,***,***,7,29,***,***,12,17,***,***,19,21,All Students,North Carolina Central University,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,0,-,Student-Athletes,North Carolina Central University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,415,31,1409,35,687,45,2561,44,1102,40,3970,41,All Students,North Carolina Central University,26,46,78,46,85,55,14,64,41,61,41,78,40,53,119,51,126,63,Student-Athletes,North Carolina Central University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,4,25,16,25,3,33,20,25,7,29,36,25,All Students,North Carolina Central University,0,-,***,***,3,100,0,-,***,***,0,-,0,-,***,***,3,100,Student-Athletes,North Carolina Central University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,North Carolina Central University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,North Carolina Central University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,***,***,3,0,***,***,15,67,***,***,18,56,All Students,North Carolina Central University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,North Carolina Central University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,0,-,0,-,0,-,0,-,0,-,All Students,North Carolina Central University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,North Carolina Central University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,32,38,***,***,57,44,***,***,89,42,***,***,All Students,North Carolina Central University,***,***,***,***,5,40,***,***,***,***,0,-,***,***,***,***,5,40,Student-Athletes,North Carolina Central University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,17,47,44,34,9,44,34,32,26,46,78,33,All Students,North Carolina Central University,***,***,***,***,8,75,***,***,***,***,6,83,***,***,***,***,14,79,Student-Athletes,North Carolina Central University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,472,32,1571,35,764,45,2835,44,1236,40,4406,41,All Students,North Carolina Central University,38,39,96,45,104,59,19,53,49,59,52,81,57,44,145,50,156,66,Student-Athletes,North Carolina Central University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,17,47,72,43,11,82,44,77,28,61,116,56,All Students,North Carolina State University,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,0,-,Student-Athletes,North Carolina State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,146,68,476,71,92,78,350,79,238,72,826,74,All Students,North Carolina State University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,North Carolina State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,203,64,765,60,229,70,880,66,432,67,1645,63,All Students,North Carolina State University,14,64,61,59,62,68,7,57,24,63,24,71,21,62,85,60,86,69,Student-Athletes,North Carolina State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,61,67,229,64,66,70,192,76,127,69,421,69,All Students,North Carolina State University,***,***,9,56,5,100,***,***,3,67,3,67,***,***,12,58,8,88,Student-Athletes,North Carolina State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,North Carolina State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,North Carolina State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,19,63,70,64,8,50,28,64,27,59,98,64,All Students,North Carolina State University,***,***,11,73,14,79,***,***,9,56,8,88,***,***,20,65,22,82,Student-Athletes,North Carolina State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,0,-,0,-,0,-,0,-,0,-,All Students,North Carolina State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,North Carolina State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,66,82,243,68,68,81,196,73,134,81,439,70,All Students,North Carolina State University,***,***,3,67,***,***,***,***,3,100,***,***,***,***,6,83,***,***,Student-Athletes,North Carolina State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,2101,74,7752,72,1704,78,6141,78,3805,76,13893,74,All Students,North Carolina State University,24,75,101,61,94,80,29,72,100,69,78,94,53,74,201,65,172,86,Student-Athletes,North Carolina State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,2613,72,9607,70,2178,77,7831,76,4791,75,17438,73,All Students,North Carolina State University,43,70,186,61,179,77,42,71,142,67,117,88,85,71,328,64,296,81,Student-Athletes,North Carolina State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,8,13,38,39,11,36,45,22,19,26,83,30,All Students,North Dakota State University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,North Dakota State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,12,17,46,37,10,30,38,50,22,23,84,43,All Students,North Dakota State University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,North Dakota State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,12,33,55,31,6,33,31,32,18,33,86,31,All Students,North Dakota State University,5,80,***,***,***,***,0,-,***,***,***,***,5,80,***,***,***,***,Student-Athletes,North Dakota State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,10,30,30,37,7,71,23,43,17,47,53,40,All Students,North Dakota State University,0,-,***,***,***,***,5,80,***,***,***,***,5,80,***,***,***,***,Student-Athletes,North Dakota State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,North Dakota State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,North Dakota State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,22,59,80,35,11,64,80,41,33,61,160,38,All Students,North Dakota State University,0,-,0,-,***,***,0,-,9,67,***,***,0,-,9,67,***,***,Student-Athletes,North Dakota State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,0,-,0,-,0,-,0,-,0,-,All Students,North Dakota State University,0,-,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,Student-Athletes,North Dakota State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,10,10,18,33,7,43,20,50,17,24,38,42,All Students,North Dakota State University,***,***,0,-,0,-,***,***,0,-,0,-,***,***,0,-,0,-,Student-Athletes,North Dakota State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,1086,53,4183,53,913,55,3536,54,1999,54,7719,54,All Students,North Dakota State University,29,45,130,62,137,84,19,63,76,68,60,95,48,52,206,65,197,87,Student-Athletes,North Dakota State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1160,52,4450,52,965,55,3773,53,2125,53,8223,53,All Students,North Dakota State University,34,50,156,62,175,77,25,68,96,69,77,95,59,58,252,64,252,82,Student-Athletes,North Dakota State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,5,40,21,76,4,50,36,72,9,44,57,74,All Students,Northeastern University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Northeastern University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,128,83,417,77,139,89,498,84,267,86,915,81,All Students,Northeastern University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Northeastern University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,68,68,297,63,100,71,364,70,168,70,661,67,All Students,Northeastern University,8,63,30,67,3,100,6,50,16,69,14,93,14,57,46,67,17,94,Student-Athletes,Northeastern University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,76,76,286,68,85,78,312,75,161,77,598,72,All Students,Northeastern University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Northeastern University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Northeastern University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Northeastern University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,92,76,254,68,72,83,202,76,164,79,456,71,All Students,Northeastern University,8,63,21,67,17,94,7,86,18,67,16,94,15,73,39,67,33,94,Student-Athletes,Northeastern University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Northeastern University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Northeastern University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,235,81,883,76,244,84,867,83,479,83,1750,79,All Students,Northeastern University,***,***,11,45,7,100,***,***,11,100,14,100,***,***,22,73,21,100,Student-Athletes,Northeastern University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,791,84,3487,79,828,85,3491,81,1619,84,6978,80,All Students,Northeastern University,10,60,72,74,40,83,22,86,67,78,63,94,32,78,139,76,103,89,Student-Athletes,Northeastern University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1395,82,5645,77,1472,84,5770,80,2867,83,11415,79,All Students,Northeastern University,29,66,140,69,70,89,38,82,116,76,111,93,67,75,256,72,181,91,Student-Athletes,Northeastern University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,46,28,123,24,68,29,258,26,114,29,381,25,All Students,Northern Arizona University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Northern Arizona University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,42,52,118,45,46,41,154,51,88,47,272,48,All Students,Northern Arizona University,0,-,***,***,***,***,3,67,***,***,***,***,3,67,***,***,***,***,Student-Athletes,Northern Arizona University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,48,29,126,24,47,53,116,40,95,41,242,31,All Students,Northern Arizona University,11,36,29,38,38,66,3,67,10,40,8,100,14,43,39,38,46,72,Student-Athletes,Northern Arizona University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,123,37,410,36,182,43,621,47,305,40,1031,42,All Students,Northern Arizona University,***,***,7,57,9,78,***,***,5,80,4,100,***,***,12,67,13,85,Student-Athletes,Northern Arizona University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,3,0,6,33,6,17,8,38,9,11,14,36,All Students,Northern Arizona University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Northern Arizona University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,14,93,26,81,8,100,30,77,22,95,56,79,All Students,Northern Arizona University,5,60,9,56,10,90,4,50,12,58,11,100,9,56,21,57,21,95,Student-Athletes,Northern Arizona University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,4,75,27,52,14,50,39,59,18,56,66,56,All Students,Northern Arizona University,0,-,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,Student-Athletes,Northern Arizona University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,33,42,122,34,30,47,115,43,63,44,237,38,All Students,Northern Arizona University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Northern Arizona University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,891,47,3085,47,1272,56,4398,57,2163,52,7483,53,All Students,Northern Arizona University,13,38,43,53,45,82,33,73,83,75,77,94,46,63,126,67,122,89,Student-Athletes,Northern Arizona University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1204,45,4043,44,1673,52,5739,54,2877,49,9782,50,All Students,Northern Arizona University,30,40,93,47,109,76,46,72,119,71,109,94,76,59,212,60,218,85,Student-Athletes,Northern Arizona University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,***,***,19,21,***,***,16,50,***,***,35,34,All Students,Northern Illinois University,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,0,-,Student-Athletes,Northern Illinois University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,70,67,328,60,66,53,264,61,136,60,592,61,All Students,Northern Illinois University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Northern Illinois University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,225,26,800,27,404,31,1469,34,629,29,2269,32,All Students,Northern Illinois University,9,78,44,66,49,84,5,80,14,93,16,94,14,79,58,72,65,86,Student-Athletes,Northern Illinois University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,99,43,405,43,115,41,488,45,214,42,893,44,All Students,Northern Illinois University,***,***,6,50,7,57,***,***,7,71,5,100,***,***,13,62,12,75,Student-Athletes,Northern Illinois University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Northern Illinois University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Northern Illinois University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,9,44,25,56,5,100,23,70,14,64,48,63,All Students,Northern Illinois University,***,***,4,100,8,100,***,***,4,75,5,80,***,***,8,88,13,92,Student-Athletes,Northern Illinois University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Northern Illinois University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Northern Illinois University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,***,***,310,52,***,***,330,56,***,***,640,54,All Students,Northern Illinois University,6,100,15,87,***,***,3,67,4,75,***,***,9,89,19,84,***,***,Student-Athletes,Northern Illinois University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,829,55,4027,59,808,62,3859,64,1637,59,7886,62,All Students,Northern Illinois University,21,76,107,68,99,88,17,76,73,78,66,95,38,76,180,72,165,91,Student-Athletes,Northern Illinois University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1413,50,5914,53,1584,52,6449,55,2997,51,12363,54,All Students,Northern Illinois University,39,82,179,69,179,86,25,76,102,79,96,95,64,80,281,73,275,89,Student-Athletes,Northern Illinois University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,***,***,5,40,***,***,13,46,***,***,18,44,All Students,Northern Kentucky University,0,-,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,Student-Athletes,Northern Kentucky University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,14,14,41,27,6,67,29,52,20,30,70,37,All Students,Northern Kentucky University,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,0,-,Student-Athletes,Northern Kentucky University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,33,18,150,19,91,35,291,34,124,31,441,29,All Students,Northern Kentucky University,***,***,5,60,14,43,***,***,5,80,6,83,***,***,10,70,20,55,Student-Athletes,Northern Kentucky University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,10,10,33,21,16,31,64,30,26,23,97,27,All Students,Northern Kentucky University,0,-,***,***,3,67,0,-,***,***,0,-,0,-,***,***,3,67,Student-Athletes,Northern Kentucky University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Northern Kentucky University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Northern Kentucky University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,8,25,22,36,8,63,20,55,16,44,42,45,All Students,Northern Kentucky University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Northern Kentucky University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Northern Kentucky University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Northern Kentucky University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,***,***,89,25,***,***,94,35,***,***,183,30,All Students,Northern Kentucky University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Northern Kentucky University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,710,37,2813,33,874,40,3605,41,1584,39,6418,37,All Students,Northern Kentucky University,13,54,62,52,112,63,18,61,85,68,107,86,31,58,147,61,219,74,Student-Athletes,Northern Kentucky University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,820,35,3153,32,1035,40,4116,40,1855,38,7269,36,All Students,Northern Kentucky University,15,53,71,54,136,62,22,59,95,66,119,85,37,57,166,61,255,73,Student-Athletes,Northern Kentucky University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,4,50,34,47,22,32,70,37,26,35,104,40,All Students,Northwestern State University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Northwestern State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,5,40,18,44,7,29,19,42,12,33,37,43,All Students,Northwestern State University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Northwestern State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,123,33,508,28,208,36,937,32,331,35,1445,31,All Students,Northwestern State University,10,20,57,39,71,51,9,67,41,46,42,55,19,42,98,42,113,52,Student-Athletes,Northwestern State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,13,46,48,50,11,27,42,38,24,38,90,44,All Students,Northwestern State University,***,***,***,***,8,88,***,***,***,***,4,75,***,***,***,***,12,83,Student-Athletes,Northwestern State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Northwestern State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Northwestern State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Northwestern State University,0,-,0,-,***,***,4,100,5,100,***,***,4,100,5,100,***,***,Student-Athletes,Northwestern State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Northwestern State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Northwestern State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Northwestern State University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Northwestern State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,263,40,1073,35,451,40,1740,41,714,40,2813,39,All Students,Northwestern State University,11,55,55,53,60,72,13,38,57,61,45,89,24,46,112,57,105,79,Student-Athletes,Northwestern State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,440,38,1788,34,746,38,2965,38,1186,38,4753,37,All Students,Northwestern State University,23,39,124,44,154,62,29,55,109,57,110,75,52,48,233,50,264,68,Student-Athletes,Northwestern State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
