School,4-Class,GSR Rate,School 2 (For some),Overall G,Overall W,Overall L,Overall W-L%
University of Massachusetts Amherst,50-b,0.5,Massachusetts NCAA,33,24,9,0.727
University of Massachusetts Lowell,54-c,0.54,Massachusetts-Lowell,28,10,18,0.357
University of Memphis,64-c,0.64,Memphis NCAA,34,24,10,0.706
University of Miami (Florida),85-c,0.85,Miami (FL),33,17,16,0.515
University of Michigan,86-b,0.86,Michigan NCAA,37,28,9,0.757
University of Minnesota Twin Cities,83-c,0.83,Minnesota,38,25,13,0.658
University of Mississippi,75-b,0.75,Mississippi,33,19,14,0.576
University of Missouri Columbia,75-c,0.75,Missouri,35,23,12,0.657
University of Missouri-Kansas City,75-c,0.75,Kansas City,30,10,20,0.333
University of Montana,50-c,0.5,Montana,30,17,13,0.567
University of Nebraska at Omaha,76-d,0.76,Omaha,32,17,15,0.531
University of Nebraska-Lincoln,50-c,0.5,Nebraska NCAA,32,19,13,0.594
University of Nevada Las Vegas,82-c,0.82,Nevada-Las Vegas,33,20,13,0.606
University of Nevada Reno,63-b,0.63,Nevada,32,15,17,0.469
University of New Hampshire,75-c,0.75,New Hampshire,30,6,24,0.2
University of New Mexico,64-c,0.64,New Mexico NCAA,34,27,7,0.794
University of New Orleans,33-c,0.33,New Orleans,26,11,15,0.423
University of North Carolina Asheville,71-b,0.71,UNC Asheville,32,17,15,0.531
University of North Carolina Chapel Hill,88-b,0.88,North Carolina NCAA,34,24,10,0.706
University of North Carolina Wilmington,62-c,0.62,UNC Wilmington,32,9,23,0.281
University of North Dakota,56-b,0.56,North Dakota,34,17,17,0.5
University of North Florida,56-d,0.56,North Florida,32,16,16,0.5
University of North Texas,89-d,0.89,North Texas,32,16,16,0.5
University of Northern Colorado,79-c,0.79,Northern Colorado,32,18,14,0.563
University of Northern Iowa,60-b,0.6,Northern Iowa,31,16,15,0.516
University of Notre Dame,100-c,1,Notre Dame,32,15,17,0.469
University of Oklahoma,77-c,0.77,Oklahoma NCAA,33,23,10,0.697
University of Oregon,73-c,0.73,Oregon NCAA,34,24,10,0.706
University of Pennsylvania,89-d,0.89,Pennsylvania,28,8,20,0.286
University of Pittsburgh,50-c,0.5,Pittsburgh NCAA,36,26,10,0.722
University of Portland,91-c,0.91,Portland,31,15,16,0.484
University of Rhode Island,91-c,0.91,Rhode Island,32,14,18,0.438
University of Richmond,83-c,0.83,Richmond,33,19,14,0.576
University of San Diego,91-c,0.91,San Diego,35,18,17,0.514
University of San Francisco,42-c,0.42,San Francisco,33,21,12,0.636
University of South Alabama,60-b,0.6,South Alabama,31,11,20,0.355
University of South Carolina Columbia,82-c,0.82,South Carolina,34,14,20,0.412
University of South Carolina Upstate,50-d,0.5,South Carolina Upstate,34,19,15,0.559
University of South Dakota,95-e,0.95,South Dakota,30,12,18,0.4
University of South Florida,80-a,0.8,South Florida,32,12,20,0.375
University of Southern California,67-b,0.67,Southern California,32,11,21,0.344
University of Tennessee at Chattanooga,43-c,0.43,Chattanooga,33,18,15,0.545
University of Tennessee at Martin,56-b,0.56,Tennessee-Martin,31,8,23,0.258
University of Tennessee Knoxville,70-b,0.7,Tennessee NCAA,37,24,13,0.649
University of Texas at Arlington,50-c,0.5,UT Arlington,32,15,17,0.469
University of Texas at Austin,100-b,1,Texas NCAA,35,24,11,0.686
University of Texas at El Paso,46-c,0.46,UTEP,34,23,11,0.676
University of Texas at San Antonio,40-d,0.4,UTSA,30,8,22,0.267
University of the Incarnate Word,57-e,0.57,Incarnate Word,27,21,6,0.778
University of the Pacific,100-c,1,Pacific,34,18,16,0.529
University of Toledo,44-b,0.44,Toledo,34,27,7,0.794
University of Utah,88-b,0.88,Utah,33,21,12,0.636
University of Vermont,100-c,1,Vermont,33,22,11,0.667
University of Virginia,82-c,0.82,Virginia NCAA,37,30,7,0.811
University of Washington,82-c,0.82,Washington,32,17,15,0.531
University of Wisconsin-Green Bay,92-c,0.92,Green Bay,31,24,7,0.774
University of Wisconsin-Madison,40-b,0.4,Wisconsin NCAA,38,30,8,0.789
University of Wisconsin-Milwaukee,50-b,0.5,Milwaukee NCAA,35,21,14,0.6
University of Wyoming,64-c,0.64,Wyoming,33,18,15,0.545
Utah State University,100-b,1,Utah State,32,18,14,0.563
Utah Valley University,50-b,0.5,Utah Valley,32,20,12,0.625
