School,4-Class,GSR Rate,School,Overall G,Overall W,Overall L,Overall W-L%
Middle Tennessee State University,100-c,1,Middle Tennessee NCAA,34,29,5,0.853
Mississippi State University,95-d,0.95,Mississippi State,36,22,14,0.611
Mississippi Valley State University,56-d,0.56,Mississippi Valley State,30,9,21,0.3
Missouri State University,100-b,1,Missouri State,31,14,17,0.452
Monmouth University,100-c,1,Monmouth,33,8,25,0.242
Montana State University-Bozeman,87-c,0.87,Montana State,30,15,15,0.5
Morehead State University,80-c,0.8,Morehead State,29,12,17,0.414
Morgan State University,69-d,0.69,Morgan State,30,5,25,0.167
Mount St. Mary's University,92-c,0.92,Mount St. Mary's,33,19,14,0.576
Murray State University,78-b,0.78,Murray State,28,11,17,0.393
New Jersey Institute of Technology,100-b,1,NJIT,29,8,21,0.276
New Mexico State University,63-d,0.63,New Mexico State,31,11,20,0.355
Niagara University,100-c,1,Niagara,30,10,20,0.333
Nicholls State University,53-c,0.53,Nicholls State,31,17,14,0.548
Norfolk State University,64-c,0.64,Norfolk State,28,12,16,0.429
North Carolina A&T State University,75-d,0.75,North Carolina A&T,31,24,7,0.774
North Carolina Central University,73-c,0.73,North Carolina Central,30,11,19,0.367
North Carolina State University,79-c,0.79,North Carolina NCAA,37,27,10,0.73
North Dakota State University,92-c,0.92,North Dakota State,30,6,24,0.2
Northeastern University,92-c,0.92,Northeastern,30,12,18,0.4
Northern Arizona University,91-c,0.91,Northern Arizona,29,9,20,0.31
Northern Illinois University,92-c,0.92,Northern Illinois,30,11,19,0.367
Northern Kentucky University,92-c,0.92,Northern Kentucky,31,18,13,0.581
Northwestern State University,87-c,0.87,Northwestern State NCAA,34,21,13,0.618
Northwestern University,92-c,0.92,Northwestern,33,17,16,0.515
Oakland University,92-c,0.92,Oakland,30,13,17,0.433
Ohio University,83-c,0.83,Ohio,30,9,21,0.3
Oklahoma State University,63-d,0.63,Oklahoma State NCAA,34,25,9,0.735
Old Dominion University,73-c,0.73,Old Dominion,34,18,16,0.529
Oral Roberts University,64-c,0.64,Oral Roberts,29,9,20,0.31
Oregon State University,78-b,0.78,Oregon State NCAA,35,24,11,0.686
Pennsylvania State University,100-b,1,Penn State NCAA,32,24,8,0.75
Pepperdine University,85-c,0.85,Pepperdine,31,6,25,0.194
Portland State University,73-c,0.73,Portland State,29,8,21,0.276
Prairie View A&M University,79-c,0.79,Prairie View NCAA,32,14,18,0.438
Presbyterian College,91-c,0.91,Presbyterian,31,12,19,0.387
Princeton University,100-c,1,Princeton,30,21,9,0.7
Providence College,75-d,0.75,Providence,30,7,23,0.233
Purdue University,100-c,1,Purdue NCAA,31,22,9,0.71
Purdue University Fort Wayne,81-d,0.81,Purdue Fort Wayne,30,15,15,0.5
Quinnipiac University,100-c,1,Quinnipiac,34,21,13,0.618
Radford University,94-d,0.94,Radford,30,7,23,0.233
Rice University,100-d,1,Rice,30,14,16,0.467
Rider University,91-c,0.91,Rider,32,15,17,0.469
Robert Morris University,61-d,0.61,Robert Morris NCAA,33,21,12,0.636
Rutgers The State University of New Jersey New Brunswick,82-c,0.82,Rutgers,37,28,9,0.757
Sacred Heart University,91-c,0.91,Sacred Heart,30,12,18,0.4
Saint Francis University,100-b,1,Saint Francis (PA),32,15,17,0.469
Saint Joseph's University,91-c,0.91,Saint Joseph's NCAA,33,23,10,0.697
Saint Louis University,92-c,0.92,Saint Louis,30,12,18,0.4
Saint Mary's College of California,100-b,1,Saint Mary's (CA),33,23,10,0.697
Saint Peter's University,100-c,1,Saint Peter's,30,3,27,0.1
Sam Houston State University,56-d,0.56,Sam Houston,29,13,16,0.448
Samford University,91-c,0.91,Samford,30,10,20,0.333
San Diego State University,85-c,0.85,San Diego State,30,13,17,0.433
San Jose State University,50-d,0.5,San Jose State,30,11,19,0.367
Santa Clara University,100-b,1,Santa Clara,30,10,20,0.333
Savannah State University,50-c,0.5,Savannah State,33,19,14,0.576
Seattle University,100-c,1,Seattle,32,16,16,0.5
Seton Hall University,93-c,0.93,Seton Hall,34,20,14,0.588
Siena College,80-c,0.8,Siena,31,9,22,0.29
South Carolina State University,63-d,0.63,South Carolina State,27,7,20,0.259
South Dakota State University,81-d,0.81,South Dakota State,36,26,10,0.722
Southeast Missouri State University,71-c,0.71,Southeast Missouri State,29,10,19,0.345
Southeastern Louisiana University,94-d,0.94,Southeastern Louisiana,30,8,22,0.267
Southern Illinois University at Carbondale,93-c,0.93,Southern Illinois,30,5,25,0.167
Southern Illinois University Edwardsville,100-a,1,SIU Edwardsville,30,11,19,0.367
Southern Methodist University,81-d,0.81,Southern Methodist,32,18,14,0.563
Southern Utah University,86-c,0.86,Southern Utah,33,23,10,0.697
St. Bonaventure University,100-c,1,St. Bonaventure,35,24,11,0.686
St. Francis College Brooklyn,87-c,0.87,St. Francis (NY),30,19,11,0.633
St. John's University (New York),100-b,1,St. John's (NY) NCAA,34,23,11,0.676
Stanford University,93-c,0.93,Stanford NCAA,37,33,4,0.892
Stephen F. Austin State University,67-c,0.67,Stephen F. Austin,36,23,13,0.639
Stetson University,92-c,0.92,Stetson,35,27,8,0.771
Stony Brook University,80-c,0.8,Stony Brook,33,24,9,0.727
Syracuse University,83-d,0.83,Syracuse NCAA,33,23,10,0.697
Temple University,73-c,0.73,Temple,30,14,16,0.467
Tennessee State University,83-c,0.83,Tennessee State,30,12,18,0.4
Tennessee Technological University,69-c,0.69,Tennessee Tech,30,12,18,0.4
Texas A&M University College Station,75-d,0.75,Texas A&M NCAA,36,27,9,0.75
Texas A&M University-Corpus Christi,86-c,0.86,Texas A&M-Corpus Christi,30,18,12,0.6
Texas Christian University,100-c,1,TCU,33,18,15,0.545
Texas Southern University,35-e,0.35,Texas Southern,33,20,13,0.606
Texas State University,82-d,0.82,Texas State,32,16,16,0.5
Texas Tech University,100-c,1,Texas Tech,30,6,24,0.2
The Ohio State University,92-c,0.92,Ohio State,35,17,18,0.486
The University of North Carolina at Charlotte,92-c,0.92,Charlotte,31,15,16,0.484
The University of North Carolina at Greensboro,93-c,0.93,UNC Greensboro,30,7,23,0.233
The University of Southern Mississippi,65-d,0.65,Southern Mississippi,34,27,7,0.794
The University of Texas Rio Grande Valley,88-d,0.88,Texas-Rio Grande Valley,30,14,16,0.467
The University of Tulsa,91-c,0.91,Tulsa,28,12,16,0.429
Towson University,67-c,0.67,Towson,30,13,17,0.433
Troy University,80-b,0.8,Troy,30,12,18,0.4
Tulane University,100-b,1,Tulane,31,20,11,0.645
U.S. Air Force Academy,94-d,0.94,Air Force,29,1,28,0.034
U.S. Military Academy,100-e,1,Army NCAA,33,25,8,0.758
U.S. Naval Academy,95-d,0.95,Navy,32,24,8,0.75
University at Albany,85-c,0.85,Albany (NY) NCAA,33,28,5,0.848
University at Buffalo the State University of New York,93-c,0.93,Buffalo,30,17,13,0.567
University of Akron,77-c,0.77,Akron NCAA,33,23,10,0.697
University of Alabama,92-c,0.92,Alabama,30,14,16,0.467
University of Alabama at Birmingham,77-c,0.77,UAB,31,16,15,0.516
University of Arizona,75-d,0.75,Arizona,30,5,25,0.167
University of Arkansas at Little Rock,77-c,0.77,Little Rock,30,18,12,0.6
University of Arkansas Pine Bluff,65-d,0.65,Arkansas-Pine Bluff,29,3,26,0.103
University of California Davis,92-c,0.92,UC Davis,31,15,16,0.484
University of California Irvine,77-c,0.77,UC Irvine,32,17,15,0.531
University of California Riverside,72-d,0.72,UC Riverside,29,6,23,0.207
University of California Santa Barbara,77-c,0.77,UC Santa Barbara,30,8,22,0.267
University of Central Arkansas,75-d,0.75,Central Arkansas,30,18,12,0.6
University of Central Florida,86-b,0.86,UCF,30,10,20,0.333
University of Cincinnati,83-c,0.83,Cincinnati,31,13,18,0.419
University of Colorado Boulder,100-c,1,Colorado,34,19,15,0.559
University of Connecticut,100-c,1,Connecticut NCAA,40,40,0,1
University of Dayton,100-c,1,Dayton NCAA,31,23,8,0.742
University of Delaware,83-c,0.83,Delaware,31,20,11,0.645
University of Denver,92-c,0.92,Denver,32,9,23,0.281
University of Detroit Mercy,91-c,0.91,Detroit Mercy,30,6,24,0.2
University of Evansville,100-c,1,Evansville,31,15,16,0.484
University of Florida,100-c,1,Florida NCAA,33,20,13,0.606
University of Georgia,91-c,0.91,Georgia NCAA,32,20,12,0.625
University of Hartford,100-c,1,Hartford,31,13,18,0.419
University of Hawaii Manoa,83-c,0.83,Hawaii,31,17,14,0.548
University of Houston,55-d,0.55,Houston,31,6,25,0.194
University of Idaho,100-d,1,Idaho NCAA,34,25,9,0.735
University of Illinois Chicago,88-d,0.88,Illinois-Chicago,35,26,9,0.743
University of Iowa,92-c,0.92,Iowa NCAA,36,27,9,0.75
University of Kansas,86-c,0.86,Kansas,32,13,19,0.406
University of Kentucky,100-c,1,Kentucky NCAA,35,26,9,0.743
University of Louisiana at Lafayette,88-d,0.88,Lafayette,30,14,16,0.467
University of Louisiana Monroe,73-c,0.73,Louisiana-Monroe,31,11,20,0.355
University of Louisville,89-b,0.89,Louisville NCAA,38,33,5,0.868
University of Maine,88-b,0.88,Maine,32,17,15,0.531
University of Maryland Baltimore County,77-c,0.77,Maryland-Baltimore County,29,4,25,0.138
University of Maryland College Park,92-c,0.92,Maryland NCAA,35,28,7,0.8
University of Maryland Eastern Shore,67-c,0.67,Maryland-Eastern Shore,30,9,21,0.3
University of Massachusetts Amherst,92-c,0.92,Massachusetts,31,4,27,0.129
University of Massachusetts Lowell,93-c,0.93,Massachusetts-Lowell,28,5,23,0.179
University of Memphis,92-c,0.92,Memphis,31,13,18,0.419
University of Miami (Florida),90-b,0.9,Miami (FL),31,16,15,0.516
University of Michigan,100-c,1,Michigan,34,20,14,0.588
University of Minnesota Twin Cities,91-c,0.91,Minnesota,35,22,13,0.629
University of Mississippi,100-c,1,Mississippi,32,12,20,0.375
University of Missouri Columbia,83-c,0.83,Missouri,31,17,14,0.548
University of Missouri-Kansas City,86-c,0.86,Kansas City,30,11,19,0.367
University of Montana,85-c,0.85,Montana,34,23,11,0.676
University of Nebraska at Omaha,91-c,0.91,Omaha,28,12,16,0.429
