School,Metric,All Students,Student-Athletes
Davidson College,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Davidson College,2007-08 Graduation Rate,93%,88%
Davidson College,Four-Class Average,92%,91%
Davidson College,Student-Athlete Graduation Success Rate,,98%
DePaul University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
DePaul University,2007-08 Graduation Rate,70%,78%
DePaul University,Four-Class Average,68%,73%
DePaul University,Student-Athlete Graduation Success Rate,,92%
Delaware State University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Delaware State University,2007-08 Graduation Rate,37%,65%
Delaware State University,Four-Class Average,36%,54%
Delaware State University,Student-Athlete Graduation Success Rate,,66%
Drake University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Drake University,2007-08 Graduation Rate,60%,83%
Drake University,Four-Class Average,68%,79%
Drake University,Student-Athlete Graduation Success Rate,,88%
Drexel University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Drexel University,2007-08 Graduation Rate,70%,82%
Drexel University,Four-Class Average,68%,80%
Drexel University,Student-Athlete Graduation Success Rate,,93%
Duke University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Duke University,2007-08 Graduation Rate,94%,80%
Duke University,Four-Class Average,94%,84%
Duke University,Student-Athlete Graduation Success Rate,,97%
Duquesne University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Duquesne University,2007-08 Graduation Rate,76%,78%
Duquesne University,Four-Class Average,74%,78%
Duquesne University,Student-Athlete Graduation Success Rate,,88%
East Carolina University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
East Carolina University,2007-08 Graduation Rate,57%,66%
East Carolina University,Four-Class Average,58%,63%
East Carolina University,Student-Athlete Graduation Success Rate,,79%
East Tennessee State University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
East Tennessee State University,2007-08 Graduation Rate,41%,64%
East Tennessee State University,Four-Class Average,41%,55%
East Tennessee State University,Student-Athlete Graduation Success Rate,,77%
Eastern Illinois University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Eastern Illinois University,2007-08 Graduation Rate,60%,63%
Eastern Illinois University,Four-Class Average,60%,65%
Eastern Illinois University,Student-Athlete Graduation Success Rate,,86%
Eastern Kentucky University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Eastern Kentucky University,2007-08 Graduation Rate,39%,53%
Eastern Kentucky University,Four-Class Average,37%,56%
Eastern Kentucky University,Student-Athlete Graduation Success Rate,,79%
Eastern Michigan University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Eastern Michigan University,2007-08 Graduation Rate,38%,63%
Eastern Michigan University,Four-Class Average,38%,61%
Eastern Michigan University,Student-Athlete Graduation Success Rate,,75%
Eastern Washington University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Eastern Washington University,2007-08 Graduation Rate,45%,47%
Eastern Washington University,Four-Class Average,46%,43%
Eastern Washington University,Student-Athlete Graduation Success Rate,,68%
Elon University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Elon University,2007-08 Graduation Rate,82%,79%
Elon University,Four-Class Average,82%,77%
Elon University,Student-Athlete Graduation Success Rate,,89%
Fairfield University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Fairfield University,2007-08 Graduation Rate,82%,77%
Fairfield University,Four-Class Average,82%,78%
Fairfield University,Student-Athlete Graduation Success Rate,,96%
Fairleigh Dickinson University Metropolitan Campus,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Fairleigh Dickinson University Metropolitan Campus,2007-08 Graduation Rate,47%,65%
Fairleigh Dickinson University Metropolitan Campus,Four-Class Average,46%,56%
Fairleigh Dickinson University Metropolitan Campus,Student-Athlete Graduation Success Rate,,67%
Florida A&M University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Florida A&M University,2007-08 Graduation Rate,41%,43%
Florida A&M University,Four-Class Average,34%,47%
Florida A&M University,Student-Athlete Graduation Success Rate,,50%
Florida Atlantic University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Florida Atlantic University,2007-08 Graduation Rate,41%,58%
Florida Atlantic University,Four-Class Average,42%,56%
Florida Atlantic University,Student-Athlete Graduation Success Rate,,70%
Florida Gulf Coast University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Florida Gulf Coast University,2007-08 Graduation Rate,44%,43%
Florida Gulf Coast University,Four-Class Average,45%,45%
Florida Gulf Coast University,Student-Athlete Graduation Success Rate,,67%
Florida International University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Florida International University,2007-08 Graduation Rate,52%,50%
Florida International University,Four-Class Average,47%,47%
Florida International University,Student-Athlete Graduation Success Rate,,66%
Florida State University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Florida State University,2007-08 Graduation Rate,77%,68%
Florida State University,Four-Class Average,75%,62%
Florida State University,Student-Athlete Graduation Success Rate,,84%
Fordham University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Fordham University,2007-08 Graduation Rate,81%,83%
Fordham University,Four-Class Average,80%,81%
Fordham University,Student-Athlete Graduation Success Rate,,92%
Furman University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Furman University,2007-08 Graduation Rate,84%,70%
Furman University,Four-Class Average,85%,75%
Furman University,Student-Athlete Graduation Success Rate,,89%
Gardner-Webb University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Gardner-Webb University,2007-08 Graduation Rate,54%,63%
Gardner-Webb University,Four-Class Average,51%,63%
Gardner-Webb University,Student-Athlete Graduation Success Rate,,86%
George Mason University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
George Mason University,2007-08 Graduation Rate,67%,59%
George Mason University,Four-Class Average,65%,65%
George Mason University,Student-Athlete Graduation Success Rate,,81%
George Washington University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
George Washington University,2007-08 Graduation Rate,81%,76%
George Washington University,Four-Class Average,81%,78%
George Washington University,Student-Athlete Graduation Success Rate,,95%
Georgetown University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Georgetown University,2007-08 Graduation Rate,92%,88%
Georgetown University,Four-Class Average,93%,87%
Georgetown University,Student-Athlete Graduation Success Rate,,95%
Georgia Institute of Technology,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Georgia Institute of Technology,2007-08 Graduation Rate,82%,74%
Georgia Institute of Technology,Four-Class Average,80%,68%
Georgia Institute of Technology,Student-Athlete Graduation Success Rate,,81%
Georgia Southern University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Georgia Southern University,2007-08 Graduation Rate,50%,63%
Georgia Southern University,Four-Class Average,48%,59%
Georgia Southern University,Student-Athlete Graduation Success Rate,,67%
Georgia State University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Georgia State University,2007-08 Graduation Rate,53%,57%
Georgia State University,Four-Class Average,50%,59%
Georgia State University,Student-Athlete Graduation Success Rate,,86%
Gonzaga University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Gonzaga University,2007-08 Graduation Rate,82%,84%
Gonzaga University,Four-Class Average,82%,84%
Gonzaga University,Student-Athlete Graduation Success Rate,,97%
Grambling State University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Grambling State University,2007-08 Graduation Rate,31%,49%
