School,Metric,All Students,Student-Athletes
Auburn University,Student-Athlete Graduation Success Rate,,94%
Austin Peay State University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Austin Peay State University,2017-18 Graduation Rate,48%,80%
Austin Peay State University,Four-Class Average,45%,64%
Austin Peay State University,Student-Athlete Graduation Success Rate,,88%
Ball State University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Ball State University,2017-18 Graduation Rate,63%,74%
Ball State University,Four-Class Average,65%,74%
Ball State University,Student-Athlete Graduation Success Rate,,93%
Baylor University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Baylor University,2017-18 Graduation Rate,80%,69%
Baylor University,Four-Class Average,81%,73%
Baylor University,Student-Athlete Graduation Success Rate,,94%
Belmont University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Belmont University,2017-18 Graduation Rate,72%,84%
Belmont University,Four-Class Average,71%,77%
Belmont University,Student-Athlete Graduation Success Rate,,97%
Bethune-Cookman University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Bethune-Cookman University,2017-18 Graduation Rate,28%,33%
Bethune-Cookman University,Four-Class Average,32%,43%
Bethune-Cookman University,Student-Athlete Graduation Success Rate,,78%
Binghamton University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Binghamton University,2017-18 Graduation Rate,84%,86%
Binghamton University,Four-Class Average,83%,81%
Binghamton University,Student-Athlete Graduation Success Rate,,93%
Boise State University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Boise State University,2017-18 Graduation Rate,62%,62%
Boise State University,Four-Class Average,58%,65%
Boise State University,Student-Athlete Graduation Success Rate,,96%
Boston College,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Boston College,2017-18 Graduation Rate,91%,78%
Boston College,Four-Class Average,91%,79%
Boston College,Student-Athlete Graduation Success Rate,,98%
Boston University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Boston University,2017-18 Graduation Rate,90%,85%
Boston University,Four-Class Average,89%,87%
Boston University,Student-Athlete Graduation Success Rate,,96%
Bowling Green State University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Bowling Green State University,2017-18 Graduation Rate,63%,75%
Bowling Green State University,Four-Class Average,62%,69%
Bowling Green State University,Student-Athlete Graduation Success Rate,,91%
Bradley University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Bradley University,2017-18 Graduation Rate,72%,74%
Bradley University,Four-Class Average,74%,70%
Bradley University,Student-Athlete Graduation Success Rate,,97%
Brigham Young University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Brigham Young University,2017-18 Graduation Rate,82%,68%
Brigham Young University,Four-Class Average,78%,71%
Brigham Young University,Student-Athlete Graduation Success Rate,,79%
Brown University,FRESHMAN-COHORT GRADUATION RATES All Students Student-Ath,,letes
Brown University,2017-18 Graduation Rate,96%,-
Brown University,Four-Class Average,96%,-
Brown University,Student-Athlete Graduation Success Rate,,98%
Bryant University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Bryant University,2017-18 Graduation Rate,81%,78%
Bryant University,Four-Class Average,82%,80%
Bryant University,Student-Athlete Graduation Success Rate,,96%
Bucknell University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Bucknell University,2017-18 Graduation Rate,83%,92%
Bucknell University,Four-Class Average,86%,90%
Bucknell University,Student-Athlete Graduation Success Rate,,98%
Butler University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Butler University,2017-18 Graduation Rate,80%,82%
Butler University,Four-Class Average,82%,77%
Butler University,Student-Athlete Graduation Success Rate,,94%
California Baptist University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
California Baptist University,2017-18 Graduation Rate,59%,58%
California Baptist University,Four-Class Average,60%,60%
California Baptist University,Student-Athlete Graduation Success Rate,,87%
California Polytechnic State University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
California Polytechnic State University,2017-18 Graduation Rate,86%,85%
California Polytechnic State University,Four-Class Average,86%,79%
California Polytechnic State University,Student-Athlete Graduation Success Rate,,90%
California State University Bakersfield,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
