School,Basketball Players,Graduation ,GSR Rate,School2,Overall G,Overall W,Overall L,Overall W-L%
Vanderbilt University,12,100-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
Villanova University,15,91-c,1,Villanova,32,23,9,0.5
Virginia Commonwealth University,15,80-c,1,Virginia Commonwealth,32,22,10,0.241
Virginia Military Institute,0,100-c,No Match,#N/A,#N/A,#N/A,#N/A,#N/A
Virginia Polytechnic Institute and State University,12,67-c,0.91,#N/A,#N/A,#N/A,#N/A,#N/A
Wagner College,15,80-c,0.8,Wagner,30,9,21,0.467
Wake Forest University,12,87-c,1,Wake Forest,31,15,16,0.727
Washington State University,12,100-c,0.67,Washington,34,20,14,0.419
Weber State University,13,93-c,0.8,#N/A,#N/A,#N/A,#N/A,#N/A
West Virginia University,14,75-c,0.87,#N/A,#N/A,#N/A,#N/A,#N/A
Western Carolina University,17,88-d,1,Western Carolina,32,15,17,0.727
Western Illinois University,13,93-c,0.93,Western Illinois,30,14,16,0.345
Western Kentucky University,14,100-c,0.75,#N/A,#N/A,#N/A,#N/A,#N/A
Western Michigan University,15,81-d,0.88,Western Michigan,31,13,18,0.743
Wichita State University,6,100-c,0.93,#N/A,#N/A,#N/A,#N/A,#N/A
William & Mary,14,79-c,1,William & Mary,29,8,21,0.258
Winthrop University,15,80-c,0.81,#N/A,#N/A,#N/A,#N/A,#N/A
Wofford College,13,100-d,1,Wofford,29,6,23,0.484
Wright State University,15,82-d,0.79,#N/A,#N/A,#N/A,#N/A,#N/A
Xavier University,13,,0.8,Xavier,31,8,23,
Yale University,15,,1,Yale,28,13,15,
Youngstown State University,15,,0.82,#N/A,#N/A,#N/A,#N/A,#N/A
