School,Overall G,Overall W,Overall L,Overall W-L%
St. John's (NY) NCAA,34,23,11,0.676
Stanford NCAA,37,33,4,0.892
Stephen F. Austin,36,23,13,0.639
Stetson,35,27,8,0.771
Stony Brook,33,24,9,0.727
Syracuse NCAA,33,23,10,0.697
TCU,33,18,15,0.545
Temple,30,14,16,0.467
Tennessee NCAA,35,29,6,0.829
Tennessee State,30,12,18,0.4
Tennessee Tech,30,12,18,0.4
Tennessee-Martin NCAA,32,24,8,0.75
Texas NCAA,34,22,12,0.647
Texas A&M NCAA,36,27,9,0.75
Texas A&M-Corpus Christi,30,18,12,0.6
Texas Southern,33,20,13,0.606
Texas State,32,16,16,0.5
Texas Tech,30,6,24,0.2
Texas-Rio Grande Valley,30,14,16,0.467
Toledo,32,16,16,0.5
Towson,30,13,17,0.433
Troy,30,12,18,0.4
Tulane,31,20,11,0.645
Tulsa,28,12,16,0.429
UAB,31,16,15,0.516
UC Davis,31,15,16,0.484
UC Irvine,32,17,15,0.531
UC Riverside,29,6,23,0.207
UC Santa Barbara,30,8,22,0.267
UCF,30,10,20,0.333
UCLA,31,13,18,0.419
UNC Asheville,31,11,20,0.355
UNC Greensboro,30,7,23,0.233
UNC Wilmington,32,5,27,0.156
UT Arlington,29,4,25,0.138
Utah,31,12,19,0.387
Utah State,31,15,16,0.484
Utah Valley,30,7,23,0.233
UTEP,37,29,8,0.784
UTSA,31,14,17,0.452
Valparaiso,31,6,25,0.194
Vanderbilt NCAA,31,18,13,0.581
Vermont,30,7,23,0.233
Villanova,32,23,9,0.719
Virginia,31,14,17,0.452
Virginia Commonwealth,32,22,10,0.688
Virginia Tech,30,14,16,0.467
Wagner,30,9,21,0.3
Wake Forest,31,15,16,0.484
Washington,34,20,14,0.588
Washington State,34,17,17,0.5
Weber State,29,7,22,0.241
West Virginia NCAA,35,30,5,0.857
Western Carolina,32,15,17,0.469
Western Illinois,30,14,16,0.467
Western Kentucky NCAA,33,24,9,0.727
Western Michigan,31,13,18,0.419
Wichita State NCAA,33,26,7,0.788
William & Mary,29,8,21,0.276
Winthrop NCAA,33,24,9,0.727
Wisconsin,29,10,19,0.345
Wofford,29,6,23,0.207
Wright State NCAA,35,26,9,0.743
Wyoming,31,20,11,0.645
Xavier,31,8,23,0.258
Yale,28,13,15,0.464
Youngstown State,31,15,16,0.484
