School,Metric,All Students,Student-Athletes
Southeast Missouri State University,2007-08 Graduation Rate,42%,56%
Southeastern Louisiana University,2007-08 Graduation Rate,36%,58%
Southern Illinois University Edwardsville,2007-08 Graduation Rate,50%,71%
Southern Illinois University at Carbondale,2007-08 Graduation Rate,43%,65%
Southern Methodist University,2007-08 Graduation Rate,79%,66%
Southern University Baton Rouge,2007-08 Graduation Rate,32%,49%
Southern Utah University,2007-08 Graduation Rate,53%,50%
St. Bonaventure University,2007-08 Graduation Rate,67%,73%
St. Francis College Brooklyn,2007-08 Graduation Rate,52%,76%
St. John's University (New York),2007-08 Graduation Rate,55%,64%
Stanford University,2007-08 Graduation Rate,96%,96%
Stephen F. Austin State University,2007-08 Graduation Rate,43%,51%
Stetson University,2007-08 Graduation Rate,64%,90%
Stony Brook University,2007-08 Graduation Rate,66%,67%
Syracuse University,2007-08 Graduation Rate,81%,71%
Temple University,2007-08 Graduation Rate,66%,68%
Tennessee State University,2007-08 Graduation Rate,29%,41%
Tennessee Technological University,2007-08 Graduation Rate,51%,57%
Texas A&M University-Corpus Christi,2007-08 Graduation Rate,40%,42%
Texas A&M University College Station,2007-08 Graduation Rate,79%,65%
Texas Christian University,2007-08 Graduation Rate,76%,71%
Texas Southern University,2007-08 Graduation Rate,16%,54%
Texas State University,2007-08 Graduation Rate,57%,56%
Texas Tech University,2007-08 Graduation Rate,59%,58%
The Citadel,2007-08 Graduation Rate,69%,66%
The Ohio State University,2007-08 Graduation Rate,83%,74%
The University of North Carolina at Charlotte,2007-08 Graduation Rate,54%,82%
The University of North Carolina at Greensboro,2007-08 Graduation Rate,55%,62%
The University of Southern Mississippi,2007-08 Graduation Rate,45%,58%
The University of Texas Rio Grande Valley,2007-08 Graduation Rate,39%,48%
The University of Tulsa,2007-08 Graduation Rate,69%,64%
Towson University,2007-08 Graduation Rate,65%,62%
Troy University,2007-08 Graduation Rate,36%,66%
Tulane University,2007-08 Graduation Rate,76%,70%
U.S. Air Force Academy,2007-08 Graduation Rate,86%,-
U.S. Military Academy,2007-08 Graduation Rate,84%,-
U.S. Naval Academy,2007-08 Graduation Rate,88%,-
University at Albany,2007-08 Graduation Rate,66%,64%
University at Buffalo the State University of New York,2007-08 Graduation Rate,72%,68%
University of Akron,2007-08 Graduation Rate,42%,65%
University of Alabama,2007-08 Graduation Rate,67%,68%
University of Alabama at Birmingham,2007-08 Graduation Rate,54%,61%
University of Arizona,2007-08 Graduation Rate,61%,49%
University of Arkansas Fayetteville,2007-08 Graduation Rate,60%,56%
University of Arkansas Pine Bluff,2007-08 Graduation Rate,26%,55%
University of Arkansas at Little Rock,2007-08 Graduation Rate,21%,43%
University of California Berkeley,2007-08 Graduation Rate,91%,78%
University of California Davis,2007-08 Graduation Rate,81%,78%
University of California Irvine,2007-08 Graduation Rate,86%,70%
University of California Los Angeles,2007-08 Graduation Rate,90%,72%
University of California Riverside,2007-08 Graduation Rate,66%,59%
University of California Santa Barbara,2007-08 Graduation Rate,81%,67%
University of Central Arkansas,2007-08 Graduation Rate,42%,45%
University of Central Florida,2007-08 Graduation Rate,67%,49%
University of Cincinnati,2007-08 Graduation Rate,64%,64%
University of Colorado Boulder,2007-08 Graduation Rate,70%,67%
University of Connecticut,2007-08 Graduation Rate,83%,74%
University of Dayton,2007-08 Graduation Rate,77%,74%
University of Delaware,2007-08 Graduation Rate,82%,75%
University of Denver,2007-08 Graduation Rate,78%,71%
University of Detroit Mercy,2007-08 Graduation Rate,57%,68%
University of Evansville,2007-08 Graduation Rate,63%,71%
University of Florida,2007-08 Graduation Rate,87%,54%
University of Georgia,2007-08 Graduation Rate,83%,71%
University of Hartford,2007-08 Graduation Rate,51%,67%
University of Hawaii Manoa,2007-08 Graduation Rate,57%,53%
University of Houston,2007-08 Graduation Rate,48%,49%
University of Idaho,2007-08 Graduation Rate,54%,60%
University of Illinois Chicago,2007-08 Graduation Rate,57%,68%
University of Illinois Urbana-Champaign,2007-08 Graduation Rate,84%,71%
University of Iowa,2007-08 Graduation Rate,70%,78%
University of Kansas,2007-08 Graduation Rate,62%,82%
University of Kentucky,2007-08 Graduation Rate,60%,62%
University of Louisiana Monroe,2007-08 Graduation Rate,40%,62%
University of Louisiana at Lafayette,2007-08 Graduation Rate,45%,67%
University of Louisville,2007-08 Graduation Rate,53%,65%
University of Maine,2007-08 Graduation Rate,56%,60%
University of Maryland Baltimore County,2007-08 Graduation Rate,65%,64%
University of Maryland College Park,2007-08 Graduation Rate,84%,66%
University of Maryland Eastern Shore,2007-08 Graduation Rate,40%,32%
University of Massachusetts Amherst,2007-08 Graduation Rate,73%,63%
University of Massachusetts Lowell,2007-08 Graduation Rate,54%,71%
University of Memphis,2007-08 Graduation Rate,43%,62%
University of Miami (Florida),2007-08 Graduation Rate,82%,66%
University of Michigan,2007-08 Graduation Rate,90%,79%
University of Minnesota Twin Cities,2007-08 Graduation Rate,75%,76%
University of Mississippi,2007-08 Graduation Rate,58%,45%
University of Missouri-Kansas City,2007-08 Graduation Rate,51%,59%
University of Missouri Columbia,2007-08 Graduation Rate,70%,70%
University of Montana,2007-08 Graduation Rate,48%,63%
University of Nebraska-Lincoln,2007-08 Graduation Rate,67%,72%
University of Nebraska at Omaha,2007-08 Graduation Rate,42%,45%
University of Nevada Las Vegas,2007-08 Graduation Rate,43%,53%
University of Nevada Reno,2007-08 Graduation Rate,49%,75%
University of New Hampshire,2007-08 Graduation Rate,80%,73%
University of New Mexico,2007-08 Graduation Rate,48%,55%
University of New Orleans,2007-08 Graduation Rate,32%,50%
University of North Carolina Asheville,2007-08 Graduation Rate,60%,62%
University of North Carolina Chapel Hill,2007-08 Graduation Rate,90%,73%
University of North Carolina Wilmington,2007-08 Graduation Rate,71%,75%
University of North Dakota,2007-08 Graduation Rate,55%,66%
University of North Florida,2007-08 Graduation Rate,50%,63%
University of North Texas,2007-08 Graduation Rate,50%,65%
University of Northern Colorado,2007-08 Graduation Rate,46%,57%
University of Northern Iowa,2007-08 Graduation Rate,66%,63%
University of Notre Dame,2007-08 Graduation Rate,95%,94%
University of Oklahoma,2007-08 Graduation Rate,66%,51%
University of Oregon,2007-08 Graduation Rate,67%,65%
University of Pennsylvania,2007-08 Graduation Rate,96%,-
University of Pittsburgh,2007-08 Graduation Rate,80%,71%
University of Portland,2007-08 Graduation Rate,75%,78%
University of Rhode Island,2007-08 Graduation Rate,63%,69%
University of Richmond,2007-08 Graduation Rate,85%,75%
University of San Diego,2007-08 Graduation Rate,75%,56%
University of San Francisco,2007-08 Graduation Rate,69%,72%
University of South Alabama,2007-08 Graduation Rate,33%,47%
University of South Carolina Columbia,2007-08 Graduation Rate,73%,57%
University of South Carolina Upstate,2007-08 Graduation Rate,40%,42%
University of South Dakota,2007-08 Graduation Rate,54%,69%
University of South Florida,2007-08 Graduation Rate,63%,64%
University of Southern California,2007-08 Graduation Rate,91%,78%
University of Tennessee Knoxville,2007-08 Graduation Rate,68%,63%
University of Tennessee at Chattanooga,2007-08 Graduation Rate,37%,53%
