School,GSR,GSR Percentage,School_2,Overall G,Overall W,Overall L,Overall W-L%,
Oral Roberts University,100-b,1,Oral Roberts,31,12,19,0.387,
Oregon State University,55-c,0.55,Oregon State,32,13,19,0.406,
Pennsylvania State University,54-c,0.54,Penn State,33,16,17,0.485,
Pepperdine University,82-c,0.82,Pepperdine,33,13,20,0.394,
Portland State University,87-c,0.87,Portland State,32,17,15,0.531,
Prairie View A&M University,60-c,0.6,Prairie View,31,10,21,0.323,
Presbyterian College,73-c,0.73,Presbyterian,33,14,19,0.424,
Princeton University,100-d,1,Princeton,29,24,5,0.828,
Providence College,91-c,0.91,Providence,35,21,14,0.6,
Purdue University,91-c,0.91,Purdue NCAA,39,34,5,0.872,
Purdue University Fort Wayne,100-b,1,Purdue Fort Wayne,36,23,13,0.639,
Quinnipiac University,100-b,1,Quinnipiac,34,24,10,0.706,
Radford University,91-c,0.91,Radford,33,16,17,0.485,
Rice University,67-b,0.67,Rice,32,11,21,0.344,
Rider University,100-c,1,Rider,32,15,17,0.469,
Robert Morris University,100-b,1,Robert Morris,32,10,22,0.313,
Rutgers The State University of New Jersey New Brunswick,92-c,0.92,Rutgers,32,15,17,0.469,
Sacred Heart University,82-c,0.82,Sacred Heart,32,16,16,0.5,
Saint Francis University,100-c,1,Saint Francis (PA),30,8,22,0.267,
Saint Joseph's University,91-c,0.91,Saint Joseph's,35,21,14,0.6,
Saint Louis University,70-b,0.7,Saint Louis,33,13,20,0.394,
Saint Mary's College of California,100-b,1,Saint Mary's (CA) NCAA,34,26,8,0.765,
Saint Peter's University,100-a,1,Saint Peter's NCAA,33,19,14,0.576,
Sam Houston State University,89-b,0.89,Sam Houston,33,21,12,0.636,
Samford University,100-c,1,Samford NCAA,35,29,6,0.829,
San Diego State University,73-c,0.73,Samford NCAA,35,29,6,0.829,
San Jose State University,85-c,0.85,San Diego State NCAA,37,26,11,0.703,
Santa Clara University,100-b,1,Santa Clara,33,20,13,0.606,
Seattle University,100-b,1,Seattle,37,23,14,0.622,
Seton Hall University,100-c,1,Seton Hall,37,25,12,0.676,
Siena College,75-b,0.75,Siena,32,4,28,0.125,
South Carolina State University,100-b,1,South Carolina State,32,14,18,0.438,
South Dakota State University,100-b,1,South Dakota State NCAA,35,22,13,0.629,
Southeast Missouri State University,86-c,0.86,Southeast Missouri State,31,9,22,0.29,
Southeastern Louisiana University,100-b,1,Southeastern Louisiana,32,15,17,0.469,
Southern Illinois University at Carbondale,100-c,1,Southern Illinois,32,19,13,0.594,
Southern Illinois University Edwardsville,92-c,0.92,SIU Edwardsville,33,17,16,0.515,
Southern Methodist University,80-b,0.8,Southern Methodist,33,20,13,0.606,
Southern University Baton Rouge,55-c,0.55,Southern,32,18,14,0.563,
Southern Utah University,82-c,0.82,Southern Utah,31,10,21,0.323,
