School,Men's GSR Percentage,Men's Win Category,Women's GSR Percentage,Women's Win Category
University of North Carolina Chapel Hill,0.82,4,0.89,3
University of North Carolina Wilmington,0.83,2,1,4
University of North Dakota,0.67,5,0.83,2
University of North Florida,1,4,0.83,4
University of North Texas,0.92,4,0.85,3
University of Northern Colorado,0.86,2,1,4
University of Northern Iowa,1,3,1,2
University of Notre Dame,1,3,0.93,5
University of Oklahoma,0.86,1,0.93,4
University of Oregon,0.5,2,0.94,4
University of Pennsylvania,1,4,0.95,2
University of Pittsburgh,0.88,3,1,3
University of Portland,0.82,4,1,3
University of Rhode Island,0.92,2,1,1
University of Richmond,1,2,1,2
University of San Diego,1,1,1,4
University of San Francisco,1,4,1,3
University of South Alabama,0.79,3,1,4
University of South Carolina Columbia,0.75,4,1,2
University of South Carolina Upstate,1,,0.95,2
University of South Dakota,1,3,0.92,1
University of South Florida,0.92,2,1,4
University of Southern California,0.9,3,1,3
University of Tennessee at Chattanooga,0.77,1,0.79,4
University of Tennessee at Martin,0.91,1,1,1
University of Tennessee Knoxville,1,3,0.87,3
University of Texas at Arlington,1,2,1,2
University of Texas at Austin,0.64,3,0.92,3
University of Texas at El Paso,0.8,1,1,1
University of Texas at San Antonio,0.81,4,0.91,1
University of the Incarnate Word,0.58,3,1,3
University of the Pacific,0.69,2,1,2
University of Toledo,1,3,1,3
University of Utah,0.67,#N/A,,
University of Vermont,1,1,0.85,1
University of Virginia,0.8,2,0.92,4
University of Washington,1,3,0.92,3
University of Wisconsin-Green Bay,1,3,0.92,2
University of Wisconsin-Madison,0.82,2,0.93,3
University of Wisconsin-Milwaukee,0.83,3,1,1
University of Wyoming,0.82,3,#N/A,#N/A
Utah State University,0.73,3,1,2
Utah Valley University,0.92,5,1,3
Valparaiso University,0.86,4,1,3
Vanderbilt University,1,5,1,2
Villanova University,1,2,1,3
Virginia Commonwealth University,1,2,1,3
Virginia Military Institute,1,#N/A,,
Virginia Polytechnic Institute and State University,1,1,1,3
Wagner College,1,2,0.8,5
Wake Forest University,0.8,4,0.91,4
Washington State University,1,4,1,5
Weber State University,0.7,3,1,2
West Virginia University,1,4,1,2
Western Carolina University,0.9,2,0.92,1
Western Illinois University,0.87,4,#N/A,#N/A
Western Kentucky University,0.69,2,0.92,2
Western Michigan University,0.86,3,1,4
Wichita State University,0.6,3,1,4
William & Mary,1,4,0.93,3
Winthrop University,0.82,3,0.85,4
Wofford College,0.91,3,1,2
Wright State University,0.89,3,1,4
Xavier University,0.7,3,0.89,2
Yale University,1,5,0.92,3
Youngstown State University,0.82,4,0.93,3
,,3,0.92,4
,,,1,3
,,,0.87,3
,,,0.73,3
,,,1,3
,,,0.85,5
,,,1,4
,,,0.92,3
