School,Overall G,Overall W,Overall L,Overall W-L%
Tulsa,35,25,10,0.714
UAB,32,18,14,0.563
UC Davis,34,20,14,0.588
UC Irvine NCAA,32,23,9,0.719
UC Riverside,32,18,14,0.563
UC San Diego,31,12,19,0.387
UC Santa Barbara,31,16,15,0.516
UCF,29,12,17,0.414
UCLA NCAA,34,27,7,0.794
UNC Asheville,31,11,20,0.355
UNC Greensboro,33,21,12,0.636
UNC Wilmington,30,5,25,0.167
UT Arlington,33,17,16,0.515
Utah NCAA,34,23,11,0.676
Utah State,30,5,25,0.167
Utah Tech,32,18,14,0.563
Utah Valley,29,10,19,0.345
UTEP,31,12,19,0.387
UTSA,33,18,15,0.545
Valparaiso,30,5,25,0.167
Vanderbilt NCAA,33,23,10,0.697
Vermont,37,25,12,0.676
Villanova,35,22,13,0.629
Virginia,32,16,16,0.5
Virginia Commonwealth,32,26,6,0.813
Virginia Tech NCAA,33,25,8,0.758
Wagner,28,7,21,0.25
Wake Forest,32,7,25,0.219
Washington,31,16,15,0.516
Washington State,36,21,15,0.583
Weber State,33,8,25,0.242
West Virginia NCAA,33,25,8,0.758
Western Carolina,30,6,24,0.2
Western Illinois,30,18,12,0.6
Western Kentucky,32,15,17,0.469
Western Michigan,30,12,18,0.4
Wichita State,32,10,22,0.313
William & Mary,29,15,14,0.517
Winthrop,30,14,16,0.467
Wisconsin,32,15,17,0.469
Wofford,30,17,13,0.567
Wright State,33,18,15,0.545
Wyoming,33,18,15,0.545
Xavier,28,1,27,0.036
Yale,27,8,19,0.296
Youngstown State,32,14,18,0.438
